Rec,Inf,UID,Name,Nat,2nd Nat,Age,Position,Club,Division,Wage,Mins,Height,Weight,Loan Expires,Expires,Min WD,Max AP,Max WD,Min AP,NP-xG/90,NP-xG,xGP/90,Clr/90,Int/90,Tck/90,Tck R,Tck W,Blk/90,Hdr %,Hdrs W/90,Poss Won/90,Pres A/90,Poss Lost/90,Pas %,Ps C/90,Pr passes/90,Asts/90,xA/90,Cr C/90,Drb/90,Shot %,Shot/90,ShT/90,xG/90,xG-OP,Gls/90,xG,Sprints/90
- - -,,2000239586,Finlay Heath,ENG,,20,DM,Southport,Vanarama National League North,â¬120 p/w,3877,"6'1""",82 kg,-,30/6/2024,,-,,-,0.12,5.02,-,1.37,1.49,2.09,77%,90,0.44,74%,5.04,9.73,7.87,8.47,84%,39.14,3.06,0.05,0.07,0.12,0.53,33%,1.21,0.39,0.12,1.98,0.16,5.02,8.71
- - -,,29128162,Bailey Gooda,ENG,,27,D (C),Scarborough Athletic,Vanarama National League North,â¬475 p/w,4539,"5'9""",72 kg,-,30/6/2025,,-,,-,0.03,1.53,-,0.87,2.04,1.03,70%,52,0.50,74%,5.83,13.38,3.39,7.38,87%,46.87,4.7,0.04,0.02,0.04,0.04,50%,0.28,0.14,0.03,0.47,0.04,1.53,5.37
- - -,,2000053510,Jay Haddow,ENG,HKG,20,D/WB (R),Southport,Vanarama National League North,â¬575 p/w,2731,"6'1""",77 kg,29/6/2024,30/6/2025,,-,,-,0.03,0.86,-,2.41,2.37,2.47,77%,75,0.73,74%,6.13,14.47,7.91,13.87,79%,30.52,3.43,0.13,0.17,0.79,1.22,13%,0.53,0.07,0.03,-0.86,-,0.86,15.23
- - -,,2000192695,Keilen Robinson,ENG,,18,D (C),Chester,Vanarama National League North,â¬475 p/w,1080,"6'1""",76 kg,30/6/2024,30/6/2025,,-,,-,0.05,0.65,-,1.67,2.00,0.75,69%,9,0.58,74%,8.67,14.25,2.0,9.42,85%,52.0,5.0,0.08,0.08,0.00,0.08,17%,0.50,0.08,0.05,-0.65,-,0.65,6.33
- - -,,2000187733,Fuad Adeniyi,ENG,NGA,29,D (C),Weymouth,Vanarama National League South,â¬525 p/w,1668,"6'0""",90 kg,-,30/6/2025,,-,,-,0.05,0.85,-,2.27,0.81,1.19,76%,22,0.38,74%,5.45,12.63,2.59,3.94,81%,41.06,4.21,-,0.03,0.00,0.22,25%,0.65,0.16,0.05,0.15,0.05,0.85,5.23
- - -,,29072743,Zak Mills,ENG,GER,32,D/WB (R),Boston Utd,Vanarama National League North,â¬475 p/w,3732,"6'0""",83 kg,-,30/6/2024,,-,,-,0.07,2.85,-,2.1,3.01,1.74,78%,72,1.04,74%,5.88,14.61,12.01,20.57,82%,33.35,5.88,0.17,0.23,1.11,2.15,38%,1.01,0.39,0.07,3.15,0.14,2.85,29.28
- - -,,2000106511,George Abbott,WAL,,19,D (C),Tamworth,Vanarama National League North,"â¬1,000 p/w",3525,"6'1""",77 kg,29/6/2024,30/6/2026,,-,,-,0.05,2.1,-,0.74,1.61,0.71,67%,28,0.54,74%,7.48,13.63,2.71,6.13,89%,47.59,3.7,0.03,0.02,0.05,0.05,27%,0.56,0.15,0.05,0.9,0.08,2.1,5.31
- - -,,90055831,Josh Granite,ENG,,32,D (C),Buxton,Vanarama National League North,â¬525 p/w,4220,"6'0""",82 kg,-,30/6/2024,,-,,-,0.05,2.39,-,1.66,1.51,0.64,73%,30,0.32,74%,7.06,12.73,2.35,10.02,77%,35.57,4.2,0.04,0.06,0.00,0.02,44%,0.68,0.30,0.05,-0.39,0.04,2.39,3.58
- - -,Wnt,2000139713,Narel Phillips,ENG,,19,D (C),Havant & W,Vanarama National League South,â¬400 p/w,2280,"6'0""",80 kg,29/6/2024,30/6/2024,,-,,-,0.07,1.69,-,3.08,1.03,0.67,59%,17,0.51,74%,4.38,11.53,3.08,5.41,77%,38.09,2.8,0.12,0.02,0.20,0.08,35%,0.91,0.32,0.07,0.31,0.08,1.69,4.03
- - -,,90083933,Morgan Williams,ENG,,24,D (RC),Yeovil,Vanarama National League South,"â¬1,200 p/w",2220,"6'2""",77 kg,-,30/6/2026,,-,,-,0.21,5.14,-,1.42,2.11,1.7,84%,42,0.45,73%,5.15,13.09,6.41,8.35,83%,41.96,5.15,0.04,0.04,0.16,1.09,29%,1.38,0.41,0.21,-5.14,-,5.14,11.31
- - -,,2000140692,Raphael Araoye,GER,ENG,19,D (LC),Havant & W,Vanarama National League South,â¬525 p/w,3654,"6'4""",89 kg,29/6/2024,30/6/2025,,-,,-,0.06,2.33,-,1.4,1.38,0.96,76%,39,0.54,73%,6.18,21.4,3.33,3.79,86%,44.66,4.36,0.07,0.05,0.05,0.02,26%,0.57,0.15,0.06,0.67,0.07,2.33,4.31
- - -,Trn,28106284,Jalen Jones,GUY,ENG,25,D (C),Aveley,Vanarama National League South,â¬180 p/w,3240,"6'6""",93 kg,-,-,,-,,-,0.12,4.42,-,1.61,1.03,0.81,67%,29,0.50,73%,6.86,14.19,2.75,4.17,82%,40.78,2.97,0.03,0.06,0.03,0.06,32%,1.14,0.36,0.12,-0.42,0.11,4.42,4.06
- - -,,29141826,Sam Bone,MAS,ENG,25,"D (RC), WB (R)",Maidstone,Vanarama National League South,â¬700 p/w,3108,"6'5""",93 kg,-,30/6/2024,,-,,-,0.05,1.59,-,1.48,2.08,2.03,78%,70,0.75,73%,4.63,16.71,9.79,12.28,85%,33.91,4.11,0.26,0.23,1.27,1.16,15%,0.38,0.06,0.05,-0.59,0.03,1.59,10.69
- - -,,29233208,Kacper GruszczyÅski,POL,ENG,20,D (L),Warrington,Vanarama National League North,â¬250 p/w,3798,"5'11""",73 kg,-,30/6/2024,,-,,-,0.04,1.49,-,1.9,2.18,2.56,83%,108,1.02,73%,5.45,15.55,7.82,13.77,81%,36.28,4.81,0.21,0.19,1.40,0.71,42%,0.62,0.26,0.04,0.51,0.05,1.49,12.56
- - -,,2000075967,Alex Touche,ENG,USA,24,D (C),Boston Utd,Vanarama National League North,â¬550 p/w,4039,"6'4""",91 kg,-,30/6/2024,,-,,-,0.08,3.54,-,1.6,1.87,0.96,83%,43,0.53,73%,9.23,14.02,3.43,6.55,89%,50.58,4.32,0.11,0.09,0.04,0.04,20%,1.00,0.20,0.08,-3.54,-,3.54,6.71
- - -,Lst,29006267,Andrew Boyce,ENG,,34,D (C),Scunthorpe,Vanarama National League North,"â¬1,200 p/w",2742,"6'4""",71 kg,-,30/6/2024,,-,,-,0.06,1.87,-,1.97,1.12,1.02,82%,31,0.43,73%,7.55,13.88,2.3,9.42,87%,62.56,5.09,0.03,0.04,0.00,-,33%,0.89,0.30,0.06,-1.87,-,1.87,4.76
- - -,,28099015,Ben Pollock,ENG,,26,"D (C), DM, M (C)",Spennymoor,Vanarama National League North,â¬475 p/w,1202,"6'1""",86 kg,-,30/6/2025,,-,,-,0.04,0.5,-,2.4,1.57,0.75,71%,10,0.45,73%,6.66,11.83,2.47,9.88,79%,40.28,3.07,-,0.05,0.07,-,33%,0.45,0.15,0.04,-0.5,-,0.5,3.82
- - -,,28106570,Louis Hall,ENG,,25,D/WB (L),Banbury,Vanarama National League North,â¬180 p/w,3693,"6'0""",76 kg,-,30/6/2024,,-,,-,0.04,1.68,-,2.29,2.34,2.0,74%,82,0.97,73%,5.31,14.67,9.33,13.89,81%,34.44,4.92,0.10,0.14,0.83,1.07,16%,0.76,0.12,0.08,-1.26,0.05,3.26,14.7
- - -,Hol,28110490,Scott Wilson,ENG,,24,D (LC),Chorley,Vanarama National League North,â¬400 p/w,4162,"6'1""",82 kg,-,30/6/2024,,-,,-,0.02,0.91,-,1.84,2.18,1.86,91%,86,0.76,73%,4.71,13.1,4.87,9.51,86%,50.45,5.1,0.15,0.08,0.37,0.28,38%,0.28,0.11,0.02,-0.91,-,0.91,7.98
- - -,Wnt,2000143990,Louis Hutchings,ENG,,19,D (C),Rushall,Vanarama National League North,â¬60 p/w,3855,"6'1""",75 kg,29/6/2024,30/6/2024,,-,,-,0.01,0.53,-,1.94,1.12,1.17,82%,50,0.51,73%,5.77,12.19,2.36,8.89,81%,38.47,3.76,0.07,0.02,0.05,-,18%,0.26,0.05,0.01,-0.53,-,0.53,2.5
- - -,,2000144013,Zak Johnson,ENG,,19,D (C),South Shields,Vanarama National League North,"â¬1,200 p/w",3943,"6'2""",75 kg,29/6/2024,30/6/2026,,-,,-,0.03,1.37,-,1.26,2.05,0.91,83%,40,0.66,73%,5.93,14.56,4.47,7.24,91%,65.39,8.08,0.05,0.03,0.14,0.30,36%,0.32,0.11,0.03,1.63,0.07,1.37,6.53
- - -,,2000140700,Jamie Knight-Lebel,CAN,,18,D (C),Brackley,Vanarama National League North,â¬575 p/w,1809,"6'2""",85 kg,29/6/2024,30/6/2025,,-,,-,0.1,1.99,-,2.59,1.69,1.19,73%,24,0.35,73%,9.70,15.42,3.33,9.65,83%,45.92,3.48,0.15,0.09,0.05,-,19%,0.80,0.15,0.1,0.01,0.10,1.99,4.13
- - -,,29234385,Luis Fernandez,ENG,,22,D (C),Hampton & Richmond,Vanarama National League South,â¬475 p/w,3629,"6'1""",80 kg,-,30/6/2026,,-,,-,0.04,1.59,-,1.54,1.61,1.04,86%,42,0.37,73%,6.30,16.84,3.67,4.69,82%,44.62,3.62,0.02,0.07,0.17,0.22,38%,0.64,0.25,0.04,2.41,0.10,1.59,6.2
- - -,,29193987,Keenan Ferguson,ENG,,23,D (R),Spennymoor,Vanarama National League North,â¬350 p/w,2236,"6'0""",89 kg,-,30/6/2025,,-,,-,0.06,1.45,-,2.33,3.18,3.22,88%,80,0.68,73%,4.79,14.45,6.6,12.48,83%,36.14,4.43,0.24,0.22,1.21,1.17,32%,0.76,0.24,0.06,1.55,0.12,1.45,15.3
- - -,,90075628,Matt Curley,ENG,,28,D/WB (R),Tamworth,Vanarama National League North,â¬230 p/w,3898,"5'9""",71 kg,-,30/6/2024,,-,,-,0.07,3.03,-,2.24,2.68,1.64,81%,71,0.67,72%,5.68,15.7,7.87,13.53,82%,37.33,5.73,0.18,0.17,0.92,0.83,38%,0.74,0.28,0.07,-3.03,-,3.03,16.3
- - -,,2000142139,Bayley McCann,NIR,ENG,18,D/WB (L),Scunthorpe,Vanarama National League North,â¬600 p/w,1149,"5'11""",66 kg,30/6/2024,30/6/2026,,-,,-,0.02,0.21,-,1.17,1.96,2.27,78%,29,0.78,72%,3.45,13.79,6.34,9.79,88%,56.4,6.89,0.16,0.11,0.23,0.63,0%,0.16,0.00,0.02,-0.21,-,0.21,10.18
- - -,Lst,2000260847,Lewis Hudson,ENG,,25,D (L),Hereford,Vanarama National League North,â¬475 p/w,3921,"5'9""",70 kg,-,31/5/2025,,-,,-,0.05,2.06,-,1.61,2.43,2.75,84%,120,0.62,72%,3.76,12.83,7.83,12.65,82%,32.82,5.37,0.11,0.1,0.71,0.60,6%,0.37,0.02,0.05,-1.06,0.02,2.06,17.56
- - -,,29173563,Ross Marshall,ENG,,24,D (C),Torquay,Vanarama National League South,â¬500 p/w,1698,"6'3""",80 kg,-,30/6/2025,,-,,-,0.07,1.37,-,1.54,1.59,1.01,86%,19,0.58,72%,6.52,14.05,3.5,4.08,83%,48.55,3.5,-,0.01,0.00,0.16,11%,0.95,0.11,0.07,-0.37,0.05,1.37,5.3
- - -,Wnt,2000108239,Oscar Halls,ENG,,19,D (C),Truro,Vanarama National League South,â¬475 p/w,4050,"6'2""",81 kg,29/6/2024,30/6/2024,,-,,-,0.15,6.96,-,2.07,1.47,0.89,70%,40,0.62,72%,5.64,15.56,3.16,3.91,85%,48.4,3.69,0.04,0.04,0.04,0.11,25%,1.16,0.29,0.15,-4.96,0.04,6.96,5.71
- - -,Hol,29003821,Mark Ellis,ENG,,35,D (C),Chorley,Vanarama National League North,â¬350 p/w,4133,"6'2""",77 kg,-,30/6/2024,,-,,-,0.02,0.94,-,1.68,0.87,0.94,81%,43,0.35,72%,5.07,10.65,2.68,8.95,85%,48.1,5.49,-,0.01,0.02,-,90%,0.22,0.20,0.05,1.48,0.09,2.52,5.49
- - -,Wnt,29217916,Duncan Idehen,ENG,,21,D (C),Worthing,Vanarama National League South,â¬700 p/w,1525,"5'10""",75 kg,29/6/2024,30/6/2024,,-,,-,0.04,0.61,-,1.42,1.77,1.3,92%,22,0.59,72%,5.19,14.28,4.19,5.08,81%,42.67,3.66,-,0.08,0.06,0.24,10%,0.59,0.06,0.04,0.39,0.06,0.61,6.55
- - -,Bid,2000140865,James Leonard,ENG,,19,D (C),Bishop's Stortford,Vanarama National League North,â¬180 p/w,2938,"5'9""",63 kg,-,30/6/2024,,-,,-,0.02,0.76,-,1.72,0.83,0.67,61%,22,0.46,71%,3.52,9.07,2.79,7.14,86%,38.84,2.63,-,0.0,0.00,-,33%,0.18,0.06,0.02,1.24,0.06,0.76,2.82
- - -,,2000044172,Aidan Coyne,AUS,ENG,20,D (C),Dover,Vanarama National League South,â¬475 p/w,1220,"6'0""",76 kg,30/6/2024,30/6/2024,,-,,-,0.03,0.46,-,2.51,1.18,0.89,80%,12,0.89,71%,5.46,14.61,3.17,4.72,84%,44.78,3.17,-,0.05,0.00,-,33%,0.22,0.07,0.03,-0.46,-,0.46,3.98
- - -,,28047460,Andre Wisdom,ENG,JAM,31,D (RC),Warrington,Vanarama National League North,â¬120 p/w,4344,"6'1""",78 kg,-,30/6/2024,,-,,-,0.06,2.66,-,1.64,1.80,1.91,83%,92,0.56,71%,6.07,13.74,5.64,10.77,81%,40.4,4.6,0.08,0.09,0.21,0.39,32%,0.85,0.27,0.06,0.34,0.06,2.66,6.48
- - -,,29225855,Tom Harrison,ENG,,23,D (C),Truro,Vanarama National League South,â¬325 p/w,1702,"6'2""",84 kg,-,30/6/2025,,-,,-,0.04,0.7,-,1.43,1.43,1.27,96%,24,0.32,71%,5.71,11.0,2.64,5.66,79%,40.82,2.96,0.16,0.06,0.00,0.11,10%,0.53,0.05,0.04,-0.7,-,0.7,3.44
- - -,Wnt,2000105707,Richard Faakye,ENG,,19,D (C),Taunton,Vanarama National League South,â¬575 p/w,2669,"6'0""",88 kg,29/6/2024,30/6/2024,,-,,-,0.09,2.65,-,1.82,1.58,0.74,67%,22,0.81,71%,6.00,16.96,2.87,4.69,81%,42.93,4.01,0.07,0.08,0.00,0.07,15%,0.67,0.10,0.09,-1.65,0.03,2.65,5.36
- - -,Wnt,29218210,Nico Jones,IRL,,22,D (C),Welling,Vanarama National League South,,1770,"6'3""",85 kg,-,-,,-,,-,0.03,0.58,-,1.53,0.71,1.27,83%,25,0.46,71%,6.76,17.34,3.76,5.19,79%,42.97,4.73,-,0.04,0.00,0.20,13%,0.41,0.05,0.03,-0.58,-,0.58,4.88
- - -,Hol,28037033,Adam Blakeman,ENG,,32,D/WB (L),Chorley,Vanarama National League North,â¬525 p/w,1557,"5'11""",72 kg,-,30/6/2024,,-,,-,0.07,1.21,-,1.62,1.73,2.31,82%,40,0.52,71%,3.47,11.62,7.63,16.07,84%,45.78,8.21,0.17,0.18,1.39,1.21,34%,1.68,0.58,0.39,-0.76,0.35,6.76,17.86
- - -,,29231812,Luke Haines,ENG,,23,"D (C), DM, M (C)",Chippenham,Vanarama National League South,â¬230 p/w,3791,"6'1""",95 kg,-,30/6/2024,,-,,-,0.05,2.1,-,1.33,1.35,1.76,73%,74,0.38,70%,3.89,10.21,8.97,7.72,88%,46.82,4.06,0.02,0.06,0.12,0.45,31%,0.62,0.19,0.05,-2.1,-,2.1,9.47
- - -,,29139507,George Fowler,ENG,,26,D (RC),Maidstone,Vanarama National League South,â¬575 p/w,1890,"6'1""",79 kg,-,30/6/2024,,-,,-,0.05,1.0,-,2.38,2.43,1.81,86%,38,0.71,70%,4.76,9.62,10.1,18.1,82%,30.67,3.9,0.10,0.07,0.62,1.19,0%,0.48,0.00,0.05,-1.0,-,1.0,12.48
- - -,,2000048049,Kanye Jobson,ENG,,20,D (C),Farnborough,Vanarama National League South,â¬350 p/w,3140,"5'11""",73 kg,-,30/6/2025,,-,,-,0.07,2.45,-,1.09,1.89,1.0,88%,35,0.57,69%,5.02,19.15,3.21,4.16,85%,41.9,3.47,0.14,0.05,0.00,0.17,22%,0.66,0.14,0.07,0.55,0.09,2.45,4.13
- - -,,29128504,Jack Doyle,ENG,,27,D (L),Southport,Vanarama National League North,â¬475 p/w,4393,"5'10""",67 kg,-,30/6/2024,,-,,-,0.02,1.04,-,2.23,2.05,3.07,83%,150,0.72,69%,3.63,13.95,8.85,14.57,78%,29.71,4.92,0.33,0.22,1.68,0.88,26%,0.39,0.10,0.02,-0.04,0.02,1.04,12.07
- - -,,2000027336,Harry Leeson,WAL,ENG,20,D (R),Dartford,Vanarama National League South,â¬950 p/w,1418,"6'0""",81 kg,30/6/2024,30/6/2025,,-,,-,0.17,2.62,-,1.59,1.97,2.03,78%,32,0.51,69%,5.52,11.49,6.85,13.39,83%,38.59,4.82,0.06,0.04,0.57,0.70,9%,1.40,0.13,0.17,-2.62,-,2.62,13.07
- - -,Wnt,31042033,Joe Grimwood,ENG,,23,D (C),Braintree,Vanarama National League South,â¬230 p/w,3284,"6'2""",84 kg,-,30/6/2024,,-,,-,0.09,3.18,-,2.17,1.15,0.99,72%,36,0.49,69%,5.37,13.07,3.32,4.47,82%,43.77,3.73,-,0.03,0.03,0.14,13%,1.10,0.14,0.09,-1.18,0.05,3.18,4.55
- - -,,90024540,Alex Gudger,ENG,,31,D (C),Brackley,Vanarama National League North,â¬925 p/w,3961,"6'0""",84 kg,-,30/6/2024,,-,,-,0.06,2.61,-,1.89,1.27,0.77,79%,34,0.52,69%,7.11,12.41,3.16,9.36,83%,43.99,3.5,0.09,0.04,0.05,0.07,38%,0.59,0.23,0.06,0.39,0.07,2.61,6.66
- - -,,2000141669,Abraham Kanu,ENG,,18,D (C),Hemel Hempstead,Vanarama National League South,â¬400 p/w,2244,"6'2""",76 kg,29/6/2024,30/6/2026,,-,,-,0.06,1.61,-,1.89,1.08,0.68,63%,17,0.48,69%,6.14,18.13,3.29,3.29,85%,44.24,3.65,-,0.03,0.08,0.12,14%,0.56,0.08,0.06,-1.61,-,1.61,4.29
- - -,Ctr,29235126,Luke Jenkins,ENG,,21,D (C),Chelmsford,Vanarama National League South,â¬230 p/w,4763,"5'10""",70 kg,-,-,,-,,-,0.07,3.67,-,1.95,1.51,1.42,82%,75,0.55,69%,5.12,18.16,4.4,5.65,85%,41.99,3.68,-,0.02,0.09,0.21,12%,0.81,0.09,0.07,-2.67,0.02,3.67,7.05
- - -,,5112949,Dean Moxey,ENG,,38,D (C),Torquay,Vanarama National League South,"â¬1,000 p/w",3337,"6'2""",68 kg,-,30/6/2024,,-,,-,0.07,2.47,-,1.75,1.32,1.16,88%,43,0.46,68%,6.23,18.12,2.97,3.86,83%,44.82,4.05,0.13,0.1,0.13,0.05,33%,0.65,0.22,0.07,1.53,0.11,2.47,4.23
- - -,,2000058107,Bobby Dailly,ENG,SCO,20,D (C),Scarborough Athletic,Vanarama National League North,â¬300 p/w,1108,"6'0""",81 kg,-,30/6/2025,,-,,-,0.0,0.04,-,2.27,2.19,1.38,68%,17,0.65,68%,6.99,15.51,3.57,9.58,87%,51.66,6.66,0.08,0.12,0.16,0.32,100%,0.16,0.16,0.0,-0.04,-,0.04,9.26
- - -,,28030262,Nathan Cameron,ENG,,32,D (C),Hereford,Vanarama National League North,â¬575 p/w,3667,"6'2""",78 kg,-,30/6/2024,,-,,-,0.04,1.65,-,1.91,0.96,0.88,68%,36,0.69,68%,6.01,10.92,3.49,7.41,83%,37.16,2.28,0.05,0.07,0.02,-,39%,0.56,0.22,0.04,-0.65,0.02,1.65,6.38
- - -,Frt,28029487,Paul Downing,ENG,,32,D (C),Hereford,Vanarama National League North,â¬700 p/w,1992,"6'1""",79 kg,-,30/6/2024,,-,,-,0.03,0.75,-,1.63,1.22,0.77,74%,17,0.54,68%,6.42,13.19,4.52,7.73,84%,42.06,2.94,-,0.05,0.00,0.05,43%,0.63,0.27,0.03,0.25,0.05,0.75,7.09
- - -,,29071976,Sam Minihan,ENG,,30,D (R),Buxton,Vanarama National League North,â¬350 p/w,3666,"5'9""",74 kg,-,30/6/2024,,-,,-,0.07,2.78,-,1.79,2.23,2.04,85%,83,0.54,68%,5.52,14.98,8.52,17.23,79%,29.68,4.15,0.20,0.22,1.18,1.67,42%,0.88,0.37,0.07,0.22,0.07,2.78,21.09
- - -,Frt,29179541,Jack James,IRL,ENG,24,D/WB (R),St. Albans,Vanarama National League South,â¬350 p/w,3506,"6'1""",76 kg,-,30/6/2024,,-,,-,0.08,3.22,-,1.69,2.52,2.0,77%,78,0.74,68%,4.49,8.86,7.42,14.25,82%,37.38,4.7,0.08,0.07,0.64,1.44,21%,1.08,0.23,0.08,-2.22,0.03,3.22,12.01
- - -,,29125468,Michael Ledger,ENG,,26,"D (RC), WB (R)",Spennymoor,Vanarama National League North,â¬350 p/w,3170,"6'1""",77 kg,-,30/6/2024,,-,,-,0.06,2.15,-,2.19,2.19,2.81,82%,99,0.65,67%,5.00,14.79,5.88,10.5,85%,41.68,3.86,0.03,0.05,0.26,0.48,35%,0.48,0.17,0.06,0.85,0.09,2.15,9.28
- - -,,28066268,Kyle Callan-McFadden,IRL,,29,D (C),King's Lynn,Vanarama National League North,â¬825 p/w,4168,"6'0""",74 kg,-,30/6/2024,,-,,-,0.02,0.93,-,1.75,1.34,1.17,76%,54,0.39,67%,7.28,14.12,2.89,10.56,81%,45.13,3.89,0.02,0.03,0.02,0.06,23%,0.28,0.06,0.02,0.07,0.02,0.93,5.23
- - -,,28047459,Alex Whittle,ENG,,31,D (L),Yeovil,Vanarama National League South,â¬550 p/w,2261,"5'8""",70 kg,-,30/6/2026,,-,,-,0.05,1.17,-,2.07,1.79,2.19,79%,55,0.80,67%,4.02,13.33,7.92,12.22,85%,37.97,5.89,0.08,0.18,0.60,0.72,50%,0.40,0.20,0.05,0.83,0.08,1.17,13.89
- - -,,2000121237,Kieran Burton,ENG,,21,D (LC),Eastbourne Borough,Vanarama National League South,â¬575 p/w,2401,"6'2""",81 kg,29/6/2024,30/6/2025,,-,,-,0.04,1.03,-,1.31,1.65,1.24,73%,33,0.26,67%,5.25,13.23,3.0,3.97,85%,45.81,4.46,-,0.02,0.04,0.19,20%,0.56,0.11,0.04,-1.03,-,1.03,4.65
- - -,,2000144010,Will Dowling,ENG,,19,M (C),Chester,Vanarama National League North,â¬425 p/w,2702,"6'2""",70 kg,-,30/6/2025,,-,,-,0.17,4.99,-,0.9,1.00,1.23,70%,37,0.37,67%,5.33,9.43,6.76,9.79,88%,44.8,4.16,0.13,0.13,0.43,0.87,37%,2.00,0.73,0.17,-0.99,0.13,4.99,8.69
- - -,Trn,85030793,RÃ©my Clerima,FRA,,33,D/WB (R),Maidenhead,Vanarama National League,â¬650 p/w,1533,"6'2""",73 kg,-,30/6/2024,,-,,-,0.21,3.54,-,1.59,2.17,1.41,73%,24,0.35,67%,5.64,10.8,7.05,16.32,84%,38.34,5.23,0.06,0.06,0.47,0.88,35%,1.53,0.53,0.21,2.46,0.35,3.54,11.74
- - -,,2000135400,Declan Hutchings,ENG,,19,D/M (C),Weston-super-Mare,Vanarama National League South,â¬475 p/w,3879,"5'11""",71 kg,29/6/2024,30/6/2025,,-,,-,0.06,2.68,-,1.44,1.53,0.86,86%,37,0.51,67%,4.62,16.06,2.71,3.48,86%,50.32,4.22,0.02,0.05,0.00,0.23,14%,0.65,0.09,0.06,-1.68,0.02,2.68,4.76
- - -,,90057675,Dwayne Wiley,ENG,,32,D (C),Alfreton,Vanarama National League North,â¬300 p/w,1551,"6'1""",83 kg,-,30/6/2024,,-,,-,0.03,0.49,-,1.91,1.97,1.8,74%,31,0.35,67%,5.45,14.74,2.96,12.19,76%,37.25,4.24,0.06,0.04,0.17,0.06,57%,0.41,0.23,0.03,1.51,0.12,0.49,8.24
- - -,Loa,56000036,Shaun Williams,IRL,,37,"DM, M (C)",Hartlepool,Vanarama National League,â¬750 p/w,1356,"6'0""",79 kg,-,30/6/2025,,-,,-,0.07,1.1,-,1.0,1.39,1.46,76%,22,0.53,66%,3.65,12.15,9.03,8.36,91%,47.39,4.18,0.20,0.1,0.20,0.40,45%,0.73,0.33,0.07,-0.1,0.07,1.1,9.09
- - -,,28115521,Jordan Thomas,ENG,JAM,23,D (R),Hampton & Richmond,Vanarama National League South,â¬425 p/w,3699,"5'10""",74 kg,-,30/6/2027,,-,,-,0.14,5.93,-,1.58,2.04,2.02,83%,83,0.51,66%,3.72,11.95,6.23,13.11,84%,40.0,5.28,0.10,0.06,0.80,1.05,18%,1.39,0.24,0.14,-2.93,0.07,5.93,11.02
- - -,,2000141028,Roddy McGlinchey,ENG,,19,"DM, M (C)",Banbury,Vanarama National League North,â¬400 p/w,1124,"6'2""",78 kg,30/6/2024,30/6/2024,,-,,-,0.04,0.48,-,1.36,0.80,0.88,79%,11,0.24,66%,3.76,7.61,7.21,5.52,87%,32.19,2.8,-,0.02,0.08,0.08,67%,0.48,0.32,0.04,-0.48,-,0.48,7.53
- - -,Wnt,28116464,Cameron Evans,WAL,,23,D (C),Taunton,Vanarama National League South,â¬230 p/w,3220,"5'11""",72 kg,-,-,,-,,-,0.16,5.76,-,1.43,1.29,0.73,74%,26,0.59,66%,5.00,16.94,3.02,3.75,83%,47.07,4.25,-,0.05,0.00,0.17,28%,1.62,0.45,0.16,-2.76,0.08,5.76,5.48
- - -,,90076147,Toby Lees,ENG,,27,D (C),Darlington,Vanarama National League North,â¬400 p/w,2444,"6'3""",83 kg,-,30/6/2024,,-,,-,0.01,0.36,-,1.73,1.47,1.58,75%,43,0.81,66%,5.49,12.19,3.65,9.83,82%,46.36,5.01,0.04,0.02,0.00,0.04,60%,0.18,0.11,0.01,-0.36,-,0.36,6.44
- - -,,2000101650,Kyle Fanning,ENG,,19,"D (C), DM",Curzon Ashton,Vanarama National League North,â¬475 p/w,1941,"6'4""",81 kg,29/6/2024,30/6/2024,,-,,-,0.13,2.78,-,1.9,1.25,1.76,79%,38,0.28,66%,4.03,10.2,10.2,7.56,89%,40.02,2.64,0.14,0.06,0.05,0.56,19%,1.48,0.28,0.13,1.22,0.19,2.78,13.17
- - -,,2000045041,Cianole Nguepissi,ENG,CMR,20,D (C),Torquay,Vanarama National League South,â¬525 p/w,3593,"5'11""",89 kg,-,30/6/2025,,-,,-,0.12,4.69,-,1.43,1.25,0.98,74%,39,0.50,66%,5.06,16.21,3.38,3.93,87%,47.67,4.18,0.03,0.07,0.08,0.15,18%,0.85,0.15,0.12,-3.69,0.03,4.69,4.68
- - -,,29171001,Ryan Law,ENG,,24,D/WB (L),Truro,Vanarama National League South,â¬300 p/w,3764,"6'0""",70 kg,-,30/6/2025,,-,,-,0.02,0.77,-,1.39,1.77,2.77,87%,116,0.55,66%,4.38,12.48,8.49,12.43,81%,33.09,4.9,0.05,0.06,0.57,1.36,43%,0.17,0.07,0.02,-0.77,-,0.77,13.84
- - -,,28028342,Blair Adams,ENG,,32,D/WB (L),South Shields,Vanarama National League North,â¬575 p/w,2596,"5'11""",72 kg,-,30/6/2024,,-,,-,0.02,0.71,-,1.53,2.63,1.77,84%,51,0.94,66%,4.61,13.56,9.26,10.64,87%,51.31,8.18,0.14,0.15,0.66,1.07,18%,0.38,0.07,0.02,-0.71,-,0.71,15.01
- - -,,2000058113,Kyle Smith,ENG,,19,"D (RC), WB (R)",Worthing,Vanarama National League South,â¬675 p/w,3891,"5'8""",69 kg,29/6/2024,30/6/2025,,-,,-,0.1,4.24,-,1.64,1.43,0.9,85%,39,0.56,65%,5.00,14.23,2.98,3.72,89%,50.45,4.23,0.05,0.04,0.60,0.12,32%,0.88,0.28,0.1,-3.24,0.02,4.24,4.14
