Position Selected,Inf,UID,Name,Position,Personality,Ability,Age,Nat,Agreed Playing Time,Wage,Expires,Transfer Value,LMR,Last 5 Games,Mins,Distance,Mins/Gm,Dist/90,xSv %,Clean Sheets,xGP/90,xGP,Saves/90,Hdrs,Hdr %,Hdrs W/90,Int/90,Itc,Blk/90,Blk,Tck/90,Tck W,Tck A,Tck R,Poss Won/90,Clear,Clr/90,Pr Passes,Pr passes/90,Poss Lost/90,Pres C/90,Pres C,Pres A/90,Pres A,Ps C/90,Pas %,Ps C,Ps A/90,Pas A,Ast,Asts/90,xA,xA/90,Cr C/90,Cr C,Crs A/90,Cr A,Cr C/A,Drb/90,Drb,Sprints/90,Shot/90,Shot %,ShT/90,ShT,Shots,Gls,xG/shot,xG-OP,xG/90,Cln/90,Con/90,Gls/90,Conc,NP-xG,NP-xG/90,Pens,Pens Faced,Pens Saved,Pens Saved Ratio,xG,Hdrs A,Aer A/90,Goals Outside Box,Off,Sv %,Svh,Svp,Svt,Shts Blckd,Shts Blckd/90,Shots Outside Box/90,style
STC,,2000109168,Emmanuel Ilesanmi,ST (C),Balanced,,21,ENG,Breakthrough Prospect,€120 p/w,30/6/2026,€0 - €9K,7.20,6.68,"3,495",458.0km,74.36,11.8km,-,-,-,-,-,218,51%,5.61,0.64,25,0.03,1,0.62,24,35,69%,3.63,15,0.39,14,0.36,6.08,0.95,37,4.64,180,22.09,88%,858,25.24,980,2,0.05,1.53,0.04,0.05,2,0.21,8,25%,0.57,22,3.99,2.42,41%,1.00,39,94,17,0.16,1.74,0.39,-,-,0.44,-,15.26,0.39,0,-,-,-,15.26,426,10.97,1,47,-,-,-,-,0,0.00,0.33,sc
S1,Prm,29072357,Tom Platt,"DM, M (C)",Balanced,,32,ENG,Important Player,€675 p/w,30/6/2026,€4K - €8K,6.70,6.70,"3,273",465.6km,68.19,12.8km,-,-,-,-,-,103,70%,2.83,1.18,43,0.38,14,1.79,65,77,84%,7.45,40,1.10,110,3.02,10.20,3.13,114,11.99,436,51.04,89%,"1,856",57.31,"2,084",5,0.14,4.20,0.12,0.22,8,0.96,35,22%,0.85,31,9.82,1.32,35%,0.47,17,48,5,0.09,0.79,0.12,-,-,0.14,-,4.21,0.12,0,-,-,-,4.21,147,4.04,1,4,-,-,-,-,8,0.22,0.85,mc
S2,,28068604,Rudy Misambo,D (C),Balanced,,31,ENG,Regular Starter,€525 p/w,30/6/2027,€1K - €24K,-,6.82,"3,440",424.2km,70.20,11.1km,-,-,-,-,-,196,76%,5.13,1.60,61,0.37,14,0.84,32,42,76%,12.95,62,1.62,186,4.87,8.79,0.65,25,2.12,81,59.02,87%,"2,256",67.66,"2,586",1,0.03,0.99,0.03,0.05,2,0.24,9,-,0.03,1,5.39,0.39,27%,0.10,4,15,2,0.06,1.10,0.02,-,-,0.05,-,0.90,0.02,0,-,-,-,0.90,259,6.78,0,1,-,-,-,-,9,0.24,0.05,dc
S3,Loa,2000050851,Cian Spencer-McDermott,"M (RC), AM (RLC)",Balanced,,23,ENG,Squad Player,€250 p/w,30/6/2026,€0 - €2.5K,-,6.78,"2,614",366.6km,74.69,12.6km,-,-,-,-,-,49,31%,1.69,1.58,46,0.28,8,1.41,41,53,77%,6.23,28,0.96,99,3.41,12.39,3.55,103,11.67,339,35.15,87%,"1,021",40.28,"1,170",3,0.10,4.12,0.14,0.34,10,2.79,81,12%,3.41,99,10.95,1.62,45%,0.72,21,47,7,0.13,0.84,0.21,-,-,0.24,-,6.16,0.21,0,-,-,-,6.16,157,5.41,2,13,-,-,-,-,1,0.03,0.62,ml
S4,Ctr,2000051052,Dylan Youmbi,"AM (RLC), ST (C)",Fairly Determined,,22,ENG,Breakthrough Prospect,N/A,-,€0,-,6.68,936,128.2km,62.40,12.3km,-,-,-,-,-,31,36%,2.98,1.15,12,0.29,3,1.44,15,19,79%,5.10,15,1.44,34,3.27,14.52,2.60,27,8.85,92,34.04,86%,354,39.62,412,1,0.10,1.11,0.11,0.96,10,5.67,59,13%,3.65,38,6.83,1.44,40%,0.58,6,15,1,0.12,-0.87,0.18,-,-,0.10,-,1.87,0.18,0,-,-,-,1.87,87,8.37,0,3,-,-,-,-,0,0.00,0.48,ml
S5,Lst,61071573,Justin Johnson,M/AM (RL),Balanced,,29,NED,Squad Player,€700 p/w,30/6/2026,€10K,-,6.50,"2,802",383.4km,63.68,12.3km,-,-,-,-,-,15,8%,0.48,0.93,29,0.22,7,1.57,49,57,86%,4.27,33,1.06,99,3.18,13.94,2.12,66,8.16,254,31.70,88%,987,36.13,"1,125",8,0.26,5.63,0.18,0.64,20,4.72,147,13%,3.05,95,4.53,1.22,50%,0.61,19,38,7,0.12,2.49,0.14,-,-,0.22,-,4.51,0.14,0,-,-,-,4.51,182,5.85,3,15,-,-,-,-,0,0.00,0.64,mr
-,,2000135232,Ronnie Sandford,GK,Balanced,,21,ENG,Backup,€300 p/w,30/6/2026,€0 - €4.5K,-,6.96,270,15.0km,90.00,5.0km,80%,1,-0.01,-0.03,1,-,-,-,1.00,3,-,-,0.00,0,1,0%,13.00,-,0.00,5,1.67,2.67,0.00,0,0.00,0,28.00,90%,84,31.00,93,0,-,0.00,0.00,-,-,-,-,-,-,0,0.00,-,-,-,-,0,0,0.00,0.00,0.00,0.33,1.00,-,3,0.00,0.00,0,1,0,0%,0.00,-,-,-,0,57%,2,2,0,-,-,-,gk
-,Wnt,2000156708,Wyll Stanway,GK,Balanced,,24,ENG,Cup Goalkeeper,€575 p/w,30/6/2027,€18K,-,6.62,"1,620",112.5km,90.00,6.2km,84%,5,-0.53,-9.47,1,-,-,-,0.56,10,-,-,0.00,0,1,0%,10.17,-,1.00,18,1.00,3.78,0.00,0,0.00,0,26.83,89%,483,30.28,545,0,-,0.00,0.00,-,-,-,-,-,-,0,0.00,-,-,-,-,0,0,0.00,0.00,0.00,0.28,1.33,-,24,0.00,0.00,0,1,0,0%,0.00,-,-,-,0,61%,14,11,7,-,-,-,gk
-,Ctr,2002173946,Andrew Coughlan,D (C),Driven,,17,IRL,Future Prospect,N/A,-,€0,-,7.04,402,49.8km,80.40,11.1km,-,-,-,-,-,18,75%,4.03,2.01,9,0.45,2,0.90,4,6,67%,9.63,5,1.12,28,6.27,8.51,0.67,3,3.36,15,47.46,85%,212,55.75,249,0,-,0.19,0.04,0.00,0,0.67,3,-,0.22,1,6.27,-,-,-,-,0,0,0.00,0.00,0.00,-,-,-,-,0.00,0.00,0,-,-,-,0.00,24,5.37,0,0,-,-,-,-,1,0.22,0.00,dc
-,,2002083560,Yusuf Ulusoy,D (L),Jovial,,26,ENG,Emergency Backup,€160 p/w,30/6/2026,€0,-,6.74,657,98.2km,82.12,13.5km,-,-,-,-,-,17,57%,2.33,1.64,12,0.68,5,2.60,19,22,86%,10.14,14,1.92,65,8.90,14.11,1.64,12,8.22,60,42.74,87%,312,49.04,358,0,-,0.68,0.09,0.82,6,5.62,41,15%,0.68,5,24.93,0.55,0%,0.00,0,4,0,0.04,-0.18,0.02,-,-,-,-,0.18,0.02,0,-,-,-,0.18,30,4.11,0,0,-,-,-,-,0,0.00,0.55,wb
-,,90070191,Simeon Maye,"D (C), DM, M (C)",Balanced,,31,ENG,Impact Sub,€425 p/w,30/6/2026,€0 - €1.5K,-,6.74,"2,090",287.5km,67.42,12.4km,-,-,-,-,-,43,65%,1.85,0.95,22,0.39,9,1.85,43,68,63%,6.72,27,1.16,135,5.81,7.36,2.41,56,7.97,185,51.55,89%,"1,197",57.70,"1,340",1,0.04,1.64,0.07,0.09,2,0.34,8,25%,0.47,11,5.94,0.56,46%,0.26,6,13,0,0.05,-0.61,0.03,-,-,-,-,0.61,0.03,0,-,-,-,0.61,66,2.84,0,2,-,-,-,-,6,0.26,0.47,dm
-,,2000135239,Edward Gyamfi,"D (RC), DM, M (C)",Balanced,,22,GER,Fringe Player,€250 p/w,30/6/2026,€0 - €2K,-,6.68,"1,913",275.6km,68.32,13.0km,-,-,-,-,-,65,70%,3.06,2.12,45,0.61,13,2.63,56,71,79%,13.46,37,1.74,162,7.62,11.76,2.16,46,7.86,167,58.67,86%,"1,247",68.55,"1,457",1,0.05,0.76,0.04,0.24,5,1.46,31,16%,0.56,12,7.86,-,-,-,-,0,0,0.00,0.00,0.00,-,-,-,-,0.00,0.00,0,-,-,-,0.00,93,4.38,0,0,-,-,-,-,3,0.14,0.00,dm
-,Inj,29240055,Will Trueman,"M/AM (C), ST (C)",Balanced,,23,ENG,Fringe Player,€160 p/w,30/6/2026,€0,-,6.74,"1,503",204.2km,68.32,12.2km,-,-,-,-,-,12,29%,0.72,1.08,18,0.18,3,1.38,23,31,74%,4.85,18,1.08,73,4.37,8.80,2.46,41,10.78,180,51.86,89%,866,57.96,968,3,0.18,2.92,0.17,0.12,2,1.02,17,11%,0.96,16,6.11,0.96,38%,0.36,6,16,2,0.09,0.60,0.08,-,-,0.12,-,1.40,0.08,0,-,-,-,1.40,41,2.46,2,1,-,-,-,-,2,0.12,0.72,mc
