UID,Name,Position,Age,Height,Min WD,Wage,Personality,Expires,Mins,Club,Division,season,possession,Pas %,Hdr %,Tck R,Poss Lost/90,Poss Won/90,Pr passes/90,Pas %,Drb/90,xA/90,Sprints/90,Drb/90,Shot/90,Shot %,xpG_diff
33068775,Scott Beeks,AM (C),24,"6'2""",0,550,,30/6/2025,3854,Blyth,Vanarama National League North,1,64,86.0,39.0,62.0,12.03,4.11,3.18,86.0,9.17,0.18,6.47,9.17,2.71,37%,0.0
29091260,David Moyo,"AM (L), ST (C)",29,"6'0""",0,350,,30/6/2024,1709,Chorley,Vanarama National League North,1,59,90.0,38.0,77.0,9.06,3.48,1.26,90.0,3.12,0.08,5.9,3.12,2.05,44%,0.0
29150496,Giovanni McGregor,M (C),25,"5'9""",0,0,,-,2136,Bishop's Stortford,Vanarama National League North,1,50,87.0,37.0,85.0,16.6,7.25,1.98,87.0,4.04,0.23,7.37,4.04,1.77,33%,0.04000000000000001
29217232,Kian Scales,M (C),22,"5'11""",0,"1,200",,30/6/2025,3092,Scunthorpe,Vanarama National League North,1,64,89.0,37.0,78.0,11.08,7.39,3.03,89.0,5.72,0.13,10.25,5.72,1.66,35%,0.07
29110602,Billy Whitehouse,M/AM (R),27,"5'11""",0,650,,30/6/2025,3971,Chorley,Vanarama National League North,1,59,86.0,36.0,81.0,17.77,6.75,3.11,86.0,8.12,0.18,12.65,8.12,1.36,52%,0.0
2000154221,Jermaine Francis,AM (RL),22,"5'7""",0,375,,30/6/2026,3444,Chelmsford,Vanarama National League South,1,56,84.0,34.0,84.0,16.99,6.19,2.93,84.0,4.81,0.24,12.65,4.81,1.20,39%,0.0
29156938,Luca Colville,AM (R),25,"6'1""",0,575,,30/6/2024,4307,Scarborough Athletic,Vanarama National League North,1,50,85.0,29.0,78.0,13.44,8.15,2.78,85.0,3.93,0.24,15.02,3.93,2.28,50%,0.0
29139358,Darren Foxley,AM (RL),27,"5'10""",0,350,,30/6/2024,3851,Bishop's Stortford,Vanarama National League North,1,50,83.0,29.0,87.0,14.82,7.41,2.34,83.0,3.53,0.24,12.18,3.53,1.40,37%,0.07
2000058334,Ben Acquaye,AM (L),24,"5'10""",0,575,,30/6/2025,3871,Tamworth,Vanarama National League North,1,51,87.0,28.0,87.0,13.36,7.23,1.67,87.0,3.56,0.2,12.39,3.56,2.07,45%,0.04999999999999999
29217667,Will McGowan,"DM, M/AM (C)",21,"5'7""",0,525,,30/6/2025,3551,Blyth,Vanarama National League North,1,64,91.0,28.0,79.0,9.96,6.51,7.45,91.0,6.14,0.14,8.62,6.14,0.84,36%,0.0
29176532,Keaton Ward,M/AM (C),24,"6'0""",0,400,,30/6/2025,2346,Boston Utd,Vanarama National League North,1,58,86.0,27.0,81.0,11.24,6.52,4.53,86.0,4.14,0.24,10.17,4.14,1.73,49%,0.0
28067664,JJ Hooper,ST (C),30,"6'1""",0,650,,30/6/2025,4817,Blyth,Vanarama National League North,1,64,90.0,27.0,76.0,9.21,3.1,0.65,90.0,4.76,0.09,3.4,4.76,2.22,48%,0.0
29103880,Danny Elliott,ST (C),28,"6'0""",0,675,,30/6/2025,1564,Scunthorpe,Vanarama National League North,1,64,86.0,26.0,87.0,14.15,5.81,1.67,86.0,15.14,0.17,6.73,15.14,2.82,45%,0.020000000000000018
29165173,Jason Law,AM (RC),25,"5'11""",0,700,,30/6/2025,2235,Scunthorpe,Vanarama National League North,1,64,89.0,26.0,81.0,12.53,4.91,2.3,89.0,11.01,0.11,10.35,11.01,1.21,47%,0.0
29175036,Dom Tear,AM (RL),24,"5'11""",0,300,,30/6/2024,1439,Scarborough Athletic,Vanarama National League North,1,50,86.0,26.0,79.0,13.82,8.88,2.5,86.0,3.69,0.23,17.51,3.69,2.19,34%,0.04999999999999999
28110963,Jordan Hickey,M (C),24,"5'10""",0,400,,30/6/2024,3243,Blyth,Vanarama National League North,1,64,91.0,26.0,81.0,13.46,6.3,5.36,91.0,8.49,0.18,12.27,8.49,1.53,36%,0.09000000000000001
29226256,Sam Pearson,M/AM (L),22,"5'11""",0,875,,30/6/2025,2115,Yeovil,Vanarama National League South,1,50,86.0,24.0,90.0,16.38,4.68,2.17,86.0,3.62,0.08,10.64,3.62,1.66,41%,0.0
29159367,Kyle Finn,"M (R), AM (RLC)",25,"5'10""",0,230,,30/6/2024,4425,Tamworth,Vanarama National League North,1,51,83.0,24.0,90.0,16.4,6.02,2.97,83.0,3.85,0.29,12.2,3.85,1.55,49%,0.03
2000137499,Morgan Wigley,AM (R),18,"5'11""",0,525,,30/6/2025,2656,Hereford,Vanarama National League North,1,50,83.0,21.0,82.0,15.18,6.68,2.91,83.0,4.03,0.21,14.27,4.03,1.02,33%,0.0
29131412,Dion Sembie-Ferris,M/AM (RL),28,"5'9""",0,575,,30/6/2024,2208,Scunthorpe,Vanarama National League North,1,64,85.0,20.0,77.0,19.25,7.58,3.1,85.0,24.04,0.21,11.78,24.04,2.00,45%,0.0
89054430,Gabby Rogers,AM (RL),23,"5'8""",0,525,,30/6/2024,2109,King's Lynn,Vanarama National League North,1,50,83.0,20.0,79.0,14.68,6.66,2.22,83.0,3.12,0.22,12.42,3.12,1.24,38%,0.0
29191699,Jordan Stevens,M/AM (R),24,"5'10""",0,"1,300",,30/6/2026,2683,Yeovil,Vanarama National League South,1,50,87.0,19.0,79.0,19.52,4.6,2.48,87.0,3.52,0.15,9.43,3.52,2.01,40%,0.0
2000109166,Brad Williams,AM (R),19,"5'8""",0,0,,-,1263,King's Lynn,Vanarama National League North,1,50,82.0,19.0,74.0,14.96,6.77,2.07,82.0,3.71,0.21,17.1,3.71,1.71,38%,0.0
2000103932,Josh Castiglione,AM (R),27,"5'6""",0,425,,30/6/2025,2860,Chelmsford,Vanarama National League South,1,56,85.0,19.0,66.0,16.7,6.07,2.74,85.0,4.58,0.24,11.27,4.58,1.01,28%,0.010000000000000009
2000139853,Freddie Hockey,"AM (R), ST (C)",18,"5'9""",0,325,,30/6/2026,2880,Chelmsford,Vanarama National League South,1,56,86.0,18.0,79.0,16.73,2.25,2.09,86.0,3.57,0.11,11.59,3.57,1.09,40%,0.0
29218026,Harry Green,AM (L),22,"5'10""",0,600,,30/6/2025,4042,Scarborough Athletic,Vanarama National League North,1,50,87.0,18.0,73.0,13.54,8.77,2.0,87.0,3.83,0.31,12.65,3.83,1.87,48%,0.0
90094244,Lewis Salmon,"AM (R), ST (C)",22,"5'9""",0,300,,30/6/2025,4002,Alfreton,Vanarama National League North,1,51,85.0,17.0,84.0,11.82,6.61,2.7,85.0,3.16,0.17,12.75,3.16,1.33,41%,0.0
2000146813,Theo Alexandrou,AM (RL),19,"5'8""",0,350,,30/6/2024,3213,Rushall,Vanarama National League North,1,50,87.0,17.0,81.0,11.26,6.13,2.44,87.0,3.36,0.13,12.69,3.36,1.51,31%,0.0
28070578,Alex Bray,AM (R),28,"5'10""",0,350,,30/6/2024,2929,Chippenham,Vanarama National League South,1,51,88.0,17.0,84.0,19.76,3.01,2.73,88.0,3.67,0.11,12.17,3.67,1.23,43%,0.0
2000140661,Hakeem Sandah,AM (RLC),19,"5'7""",0,475,,30/6/2025,3666,Boston Utd,Vanarama National League North,1,58,84.0,16.0,72.0,8.74,5.03,2.82,84.0,5.29,0.18,12.79,5.29,1.77,43%,0.0
29236669,Cameron Wilson,AM (R),21,"5'11""",0,875,,30/6/2025,2591,Scunthorpe,Vanarama National League North,1,64,88.0,15.0,81.0,19.35,7.02,2.92,88.0,23.9,0.2,11.01,23.9,1.70,35%,0.07
29174102,Alfie Beestin,M (C),26,"5'10""",0,"1,400",,30/6/2024,1067,Scunthorpe,Vanarama National League North,1,64,90.0,15.0,91.0,12.76,6.41,2.61,90.0,6.11,0.15,8.27,6.11,1.60,42%,0.0
61071573,Justin Johnson,M/AM (RL),27,"5'7""",0,700,,30/6/2026,3966,Chorley,Vanarama National League North,1,59,88.0,13.0,77.0,15.61,6.56,2.45,88.0,11.18,0.23,8.62,11.18,1.45,45%,0.0
28122210,Dempsey Arlott-John,"AM (RL), ST (C)",22,"5'9""",0,180,,30/6/2024,1108,Tamworth,Vanarama National League North,1,51,88.0,9.0,85.0,11.94,6.74,3.09,88.0,4.4,0.25,13.65,4.4,1.62,30%,0.0
28091360,Cal Roberts,M/AM (R),27,"5'8""",0,"1,400",,30/6/2025,2174,Scunthorpe,Vanarama National League North,1,64,86.0,8.0,78.0,20.82,6.13,3.15,86.0,17.97,0.15,10.56,17.97,2.24,44%,0.0
29217667,Will McGowan,"DM, M/AM (C)",22,"5'7""",0,500,Spirited,30/6/2026,"3,918",Blyth,Vanarama National League North,2,69,90.0,28.0,83.0,16.89,6.96,7.28,90.0,22.06,0.18,7.28,22.06,1.15,32%,0.0
29233758,Billy Fewster,M/AM (RLC),21,"5'10""",0,475,Balanced,30/6/2025,"3,266",Alfreton,Vanarama National League North,2,50,84.0,48.0,85.0,13.81,7.33,2.67,84.0,3.47,0.19,10.86,3.47,2.18,39%,0.0
2000081565,Jack Tolley,WB/AM (RL),21,"5'11""",0,300,Balanced,30/6/2025,"4,021",Gloucester,Vanarama National League North,2,50,86.0,31.0,82.0,12.2,6.49,2.15,86.0,3.25,0.19,8.15,3.25,1.19,40%,0.0
28122210,Dempsey Arlott-John,"AM (RL), ST (C)",23,"5'9""",0,0,Balanced,-,"4,140",Tamworth,Vanarama National League North,2,53,85.0,16.0,80.0,14.8,6.91,2.96,85.0,5.54,0.21,14.33,5.54,1.28,44%,0.0
