Rec,Inf,UID,Name,Personality,Age,Position,Preferred Foot,Height,Min WD,Club,Division,Wage,Expires,Transfer Value,Mins,Cln/90,Con/90,xA/90,xA,Mins/Gl,xG-OP,xG/90,Gls,Conc,Gls/90,NP-xG,NP-xG/90,Pens Saved,Pens Saved Ratio,Red,Saves/90,Aer A/90,Asts/90,Blk/90,Clr/90,Conv %,Crs A/90,Cr C/A,Cr C/90,Distance,Dist/90,Drb/90,xGP/90,xG/shot,xGP,xSv %,Hdrs L/90,Hdrs W/90,Sprints/90,Hdr %,Itc,Int/90,Hdrs,K Hdrs/90,K Pas,Pas %,Pas A,Ps A/90,Ps C,Ps C/90,Poss Lost/90,Poss Won/90,Pres A,Pres A/90,Pres C,Pres C/90,Pr Passes,Pr passes/90,Shots,ShT,Shots Outside Box/90,Shts Blckd,Shts Blckd/90,ShT/90,Shot %,Shot/90,Tck R,Tck A,Tck W,Tck/90,Off,Drb,Cr A,Clear,Blk,Hdrs A,Goals Outside Box,Best Pos,Clean Sheets,Sv %,Svh,Svp,Svt
- - C+ -,Lst,2000015580,Tom Wilson,Balanced,24,"D (C), DM",Right,"6'1""",€200 p/w,Peterborough Sports,Vanarama National League North,€250 p/w,30/6/2026,€1.5K,486,-,-,0.03,0.15,-,-0.02,0.00,0,-,-,0.02,0.00,-,-,0,-,9.26,-,0.37,1.48,-,0.00,-,0.00,63.8km,11.8km,-,-,0.02,-,-,3.89,5.37,6.67,58%,5,0.93,29,0.93,3,80%,260,48.15,207,38.33,9.63,11.67,24,4.44,7,1.30,27,5.00,1,0,0.19,2,0.37,0.00,0%,0.19,60%,5,3,0.56,0,0,0,8,2,50,0,D (C),-,-,-,-,-
- - B -,,2000272476,Kemall Wilson,,19,D (C),Right,"6'2""",-,Mansfield,Sky Bet League Two,€400 p/w,30/6/2027,Unknown,7,-,-,-,0.00,-,0.00,-,0,-,-,0.00,-,-,-,0,-,-,-,-,-,-,-,-,-,1.1km,-,-,-,0.00,-,-,-,-,-,100%,0,-,1,-,0,100%,4,-,4,-,-,-,0,-,0,-,0,-,0,-,-,0,-,-,-,-,-,0,-,-,0,0,0,0,0,1,0,D (C),-,-,-,-,-
- - C -,FrA,29191225,George Wilson,,24,"DM, M (C)",Right Only,"5'11""",-,,-,-,-,€0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,M (C),-,-,-,-,-
- - A- -,FrA,29236669,Cameron Wilson,,23,AM (RL),Right Only,"5'11""",-,,-,-,-,€0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AM (R),-,-,-,-,-
- - D -,FrA,28094022,Alex Wiles,,29,"DM, M (C)",Right,"5'8""",-,,-,-,-,€0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,M (C),-,-,-,-,-
- - C- -,Loa,2000300000,Charlie Whittaker,Resolute,20,M/AM (C),Right Only,"5'9""",N/A,Blyth,Vanarama National League North,€120 p/w,30/6/2026,€0,751,-,-,0.30,2.48,751.00,-0.10,0.13,1,-,0.12,1.10,0.13,-,-,0,-,3.36,0.36,0.48,0.48,10%,1.20,50%,0.60,110.0km,13.2km,1.44,-,0.11,-,-,2.40,0.96,6.47,29%,4,0.48,8,0.00,10,84%,391,46.86,330,39.55,10.19,4.31,81,9.71,21,2.52,36,4.31,10,2,0.84,0,0.00,0.24,20%,1.20,100%,5,5,0.60,2,12,10,4,4,28,0,M (C),-,-,-,-,-
- -  -,FrA,95040801,Ryan Whitley,,26,GK,Right Only,"6'5""",-,,-,-,-,€0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GK,-,-,-,-,-
- -  -,FrA,29110602,Billy Whitehouse,Balanced,29,"M (R), AM (RL)",Right,"5'11""",-,,-,-,-,€0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AM (R),-,-,-,-,-
- -  -,Ctr,29107362,Danny Whitehall,,30,ST (C),Right Only,"6'3""",-,Hitchin,Vanarama National League North,N/A,-,Unknown,"1,048",-,-,0.11,1.30,209.60,-1.04,0.52,5,-,0.43,3.66,0.31,-,-,0,-,10.39,-,-,1.37,19%,2.75,33%,0.60,141.2km,12.1km,0.43,-,0.23,-,-,8.07,2.32,6.87,22%,13,1.12,27,0.00,18,82%,345,29.63,283,24.30,10.39,3.69,89,7.64,22,1.89,14,1.20,26,16,0.77,0,0.00,1.37,62%,2.23,68%,22,15,1.29,1,5,32,16,0,121,2,ST (C),-,-,-,-,-
- -  -,Wnt,28105589,Callum Whelan,,27,"DM, M (C)",Right,"5'9""",-,,-,-,-,€0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,M (C),-,-,-,-,-
- -  -,,2000142146,Joe Westley,,21,ST (C),Right,"6'1""",-,Blyth,Vanarama National League North,€600 p/w,30/6/2026,€40K - €400K,"3,288",-,-,0.22,8.02,93.94,9.85,0.69,35,-,0.96,23.57,0.65,-,-,0,-,7.69,0.16,0.16,0.36,24%,1.40,22%,0.33,413.8km,11.3km,0.90,-,0.17,-,-,2.98,4.71,4.32,61%,19,0.52,172,0.11,46,85%,969,26.52,823,22.53,7.66,3.75,206,5.64,56,1.53,27,0.74,144,71,0.99,2,0.05,1.94,49%,3.94,82%,38,31,0.85,59,33,51,13,6,281,4,ST (C),-,-,-,-,-
- -  -,FrA,29107139,Rory Watson,Fairly Professional,29,GK,Right Only,"6'3""",€300 p/w,,-,-,-,€0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,GK,-,-,-,-,-
- -  -,Inj,2000207729,Harvey Warren,Balanced,21,D (RC),Right Only,"6'1""",-,Halesowen,English Southern League Premier Central,€375 p/w,30/6/2027,€10K - €30K,561,-,-,0.00,0.00,-,0.00,0.00,0,-,-,0.00,0.00,-,-,0,-,-,0.16,-,0.00,-,0.00,-,0.00,0.0km,0.0km,-,-,0.00,-,-,-,-,0.00,-,0,-,-,0.00,0,69%,140,22.46,97,15.56,0.00,0.00,0,0.00,0,0.00,0,0.00,0,-,0.00,0,0.00,-,-,-,100%,12,12,1.93,0,0,0,0,0,0,0,D (C),-,-,-,-,-
- -  -,Ctr,29176532,Keaton Ward,Balanced,25,M/AM (C),Right,"6'0""",€725 p/w,Ramsgate,English Isthmian League South East Division,N/A,-,€0,49,-,-,-,0.09,-,-0.85,-,0,-,-,0.85,-,-,-,0,-,-,-,-,-,-,-,-,-,0.0km,-,-,-,0.09,-,-,-,-,-,-,0,-,-,-,0,60%,60,-,36,-,-,-,0,-,0,-,0,-,9,3,-,0,-,-,33%,-,100%,1,1,-,0,0,0,0,0,0,0,AM (C),-,-,-,-,-
- -  -,FrA,28100363,Dan Ward,,28,M (C),Right,"5'10""",-,,-,-,-,€0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,M (C),-,-,-,-,-
- -  -,FrA,29156806,Liam Waldock,Balanced,25,"DM, M/AM (C)",Right Only,"5'10""",€210 p/w,,-,-,-,€0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,M (C),-,-,-,-,-
- -  -,,2000081565,Jack Tolley,Balanced,21,"WB (RL), M (R), AM (RL)",Right,"5'11""",€775 p/w,Gosport,Vanarama National League South,€300 p/w,30/6/2026,€10K - €40K,"2,905",-,-,0.12,3.88,968.33,0.86,0.07,3,-,0.09,1.33,0.04,-,-,0,-,5.82,0.15,0.46,0.99,19%,6.41,13%,0.93,397.9km,12.3km,2.88,-,0.13,-,-,4.24,1.58,9.42,27%,47,1.46,51,0.00,51,83%,"1,033",32.00,861,26.67,14.56,5.05,311,9.64,90,2.79,120,3.72,16,6,0.25,0,0.00,0.19,38%,0.50,80%,69,55,1.70,14,93,207,32,15,188,0,AM (R),-,-,-,-,-
- -  -,Wnt,2000134400,Jack Tierney,Balanced,21,D (C),Right,"6'2""",-,Salford,Sky Bet League One,€375 p/w,30/6/2026,€18K - €180K,37,-,-,-,0.00,-,0.00,-,0,-,-,0.00,-,-,-,0,-,-,-,-,-,-,-,-,-,4.4km,-,-,-,0.00,-,-,-,-,-,50%,1,-,2,-,0,88%,24,-,21,-,-,-,2,-,1,-,1,-,0,-,-,1,-,-,-,-,100%,1,1,-,0,0,0,1,0,4,0,D (C),-,-,-,-,-
- -  -,,90049334,Will Thornton,Driven,28,D (C),Right Only,"6'3""",€750 p/w,Ashton Utd,English Northern Premier League Premier Division,€400 p/w,30/6/2026,€0 - €50K,"2,880",-,-,0.03,1.03,-,-2.58,0.08,0,-,-,2.58,0.08,-,-,0,-,8.59,0.03,0.41,1.41,-,0.12,50%,0.06,343.9km,10.7km,-,-,0.10,-,-,1.97,6.62,4.50,77%,51,1.59,212,0.62,9,83%,"1,650",51.56,"1,377",43.03,3.44,14.19,86,2.69,37,1.16,110,3.44,25,4,0.19,57,1.78,0.12,16%,0.78,85%,39,33,1.03,0,0,4,45,13,275,0,D (C),-,-,-,-,-
- -  -,,28058225,Adam Thomas,Resolute,31,"M (R), AM (RL), ST (C)",Right,"6'3""",€250 p/w,Colwyn Bay,JD Cymru Premier,€350 p/w,30/6/2027,Not for Sale,"2,182",-,-,0.14,3.32,436.40,1.73,0.13,5,-,0.21,3.27,0.13,-,-,0,-,6.48,0.12,0.21,1.03,15%,5.44,21%,1.20,293.7km,12.1km,2.52,-,0.10,-,-,3.96,2.52,11.96,39%,39,1.61,61,0.08,30,86%,782,32.25,675,27.84,17.53,4.33,252,10.39,66,2.72,52,2.14,33,10,0.49,1,0.04,0.41,30%,1.36,87%,60,52,2.14,4,61,132,25,5,157,1,M (R),-,-,-,-,-
- -  -,,2000036795,Alfie Taylor,,21,D (RLC),Left,"6'2""",-,Alfreton,Vanarama National League North,€425 p/w,30/6/2026,Unknown,937,-,-,0.04,0.37,-,-0.20,0.02,0,-,-,0.20,0.02,-,-,0,-,9.61,-,0.58,1.44,-,2.40,-,0.00,120.5km,11.6km,0.10,-,0.05,-,-,2.98,6.63,7.88,69%,33,3.17,69,1.34,2,87%,574,55.13,498,47.83,9.99,16.04,59,5.67,18,1.73,35,3.36,4,2,0.10,4,0.38,0.19,50%,0.38,76%,29,22,2.11,4,1,25,15,6,100,0,D (C),-,-,-,-,-
- -  -,,2000210136,Charlie Tasker,,19,D (RC),Right,"6'1""",-,Tonbridge,Vanarama National League South,€400 p/w,30/6/2027,Unknown,"1,773",-,-,0.05,1.04,"1,773.00",-1.71,0.14,1,-,0.05,2.71,0.14,-,-,0,-,9.09,-,0.81,1.78,5%,1.17,21%,0.25,230.5km,11.7km,0.20,-,0.12,-,-,2.79,6.29,6.45,69%,33,1.68,124,0.76,14,84%,"1,061",53.86,891,45.23,6.04,16.09,83,4.21,20,1.02,82,4.16,22,4,0.20,21,1.07,0.20,18%,1.12,80%,20,16,0.81,0,4,23,35,16,179,0,D (C),-,-,-,-,-
- -  -,,2000210588,Oliver Sweeney,Determined,20,D (RC),Right,"5'9""",-,Hereford,Vanarama National League North,€450 p/w,30/6/2026,€90K - €900K,"2,665",-,-,0.02,0.69,"2,665.00",-0.48,0.05,1,-,0.03,0.69,0.02,-,-,0,-,7.13,-,0.78,2.30,17%,1.08,9%,0.10,367.7km,12.4km,0.41,-,0.25,-,-,3.68,3.44,7.63,48%,63,2.13,102,0.44,4,75%,"1,161",39.21,872,29.45,10.87,13.95,197,6.65,64,2.16,134,4.53,6,1,0.07,5,0.17,0.03,17%,0.20,75%,65,49,1.65,0,12,32,68,23,211,0,D (C),-,-,-,-,-
- -  -,Wnt,2000108042,Charlie Staniland,,21,"DM, M (RC)",Right,"5'3""",-,,-,-,-,€0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,M (C),-,-,-,-,-
- -  -,Ret,29031132,Jimmy Spencer,,34,ST (C),Right,"6'1""",-,Leamington,Vanarama National League North,€325 p/w,30/6/2026,Unknown,877,-,-,0.03,0.32,438.50,-1.19,0.33,2,-,0.21,1.59,0.16,-,-,0,-,13.44,0.10,0.10,0.41,13%,0.31,50%,0.21,125.7km,12.9km,0.82,-,0.20,-,-,10.36,3.08,5.95,23%,9,0.92,30,0.10,5,85%,350,35.92,296,30.38,9.65,3.49,43,4.41,8,0.82,11,1.13,16,5,0.51,0,0.00,0.51,31%,1.64,50%,8,4,0.41,7,8,3,4,1,131,0,ST (C),-,-,-,-,-
- -  -,Wnt,2000167460,Michael Spellman,Balanced,23,"M (L), AM (RL), ST (C)",Left Only,"6'0""",-,Southend,Vanarama National League,€700 p/w,30/6/2026,€18K,986,-,-,0.33,3.60,986.00,-1.17,0.20,1,-,0.09,2.17,0.20,-,-,0,-,6.85,0.09,0.27,1.10,13%,5.93,13%,0.64,133.7km,12.2km,2.65,-,0.27,-,-,5.75,1.10,12.14,16%,19,1.73,12,0.00,19,83%,331,30.21,276,25.19,17.89,3.47,113,10.31,24,2.19,25,2.28,8,5,0.00,0,0.00,0.46,63%,0.73,79%,19,15,1.37,3,29,65,12,3,75,0,AM (L),-,-,-,-,-
- -  -,Wnt,2002139957,Oscar Smith,Balanced,17,"AM (R), ST (C)",Right,"6'4""",-,Altrincham,Vanarama National League North,N/A,-,€0,571,-,-,0.18,1.17,571.00,-0.20,0.19,1,-,0.16,1.20,0.19,-,-,0,-,8.04,0.32,0.16,0.95,8%,8.51,6%,0.79,84.1km,13.3km,2.05,-,0.10,-,-,3.78,4.26,9.61,53%,14,2.21,27,0.16,10,80%,205,32.31,164,25.85,19.07,7.72,62,9.77,23,3.63,21,3.31,12,4,0.95,0,0.00,0.63,33%,1.89,73%,15,11,1.73,3,13,54,6,1,51,0,AM (R),-,-,-,-,-
- -  -,FrA,29139502,Chris Smith,,27,"D (C), DM",Right Only,"6'2""",-,,-,-,-,€0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D (C),-,-,-,-,-
- -  -,,29217427,Aaron Skinner,Balanced,23,"D (RLC), WB (R), DM, M (C)",Right,"5'9""",€500 p/w,Basingstoke,English Southern League Premier South,€475 p/w,30/6/2026,€1K - €9K,"2,790",-,-,0.10,2.99,930.00,0.58,0.08,3,-,0.10,2.42,0.08,-,-,0,-,3.97,0.10,0.52,1.03,9%,0.61,11%,0.06,387.9km,12.5km,0.29,-,0.07,-,-,2.29,1.68,9.90,42%,49,1.58,52,0.19,17,86%,"1,547",49.90,"1,335",43.06,5.74,15.71,272,8.77,61,1.97,98,3.16,34,9,0.45,18,0.58,0.29,26%,1.10,65%,63,41,1.32,1,9,19,32,16,123,1,DM,-,-,-,-,-
- -  -,,2000271434,Jimmy Sinclair,,19,D (R),Right,"5'10""",-,Barwell,English Southern League Premier Central,€350 p/w,30/6/2026,Unknown,450,-,-,0.00,0.00,-,0.00,0.00,0,-,-,0.00,0.00,-,-,0,-,-,-,-,0.00,-,0.00,-,0.00,0.0km,0.0km,-,-,0.00,-,-,-,-,0.00,-,0,-,-,0.00,0,69%,100,20.00,69,13.80,0.00,0.00,0,0.00,0,0.00,0,0.00,0,-,0.00,0,0.00,-,-,-,100%,8,8,1.60,0,0,0,0,0,0,0,D (R),-,-,-,-,-
- -  -,FrA,90091913,Isaac Sinclair,,24,"DM, M (C), AM (RL)",Right Only,"5'10""",-,,-,-,-,€0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,AM (L),-,-,-,-,-
- -  -,Loa,2000300474,Zach Simpson,Spirited,19,"DM, M (C)",Right Only,"5'9""",N/A,Blyth,Vanarama National League North,€65 p/w,30/6/2026,€0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DM,-,-,-,-,-
- -  -,,2000051321,Nathan Simpson,,21,D/WB/M/AM (R),Right,"5'9""",-,Scunthorpe,Vanarama National League,€775 p/w,30/6/2027,Unknown,"1,800",-,-,0.13,2.52,600.00,-1.24,0.21,3,-,0.15,4.24,0.21,-,-,0,-,6.80,0.15,0.35,1.30,7%,5.80,8%,0.50,238.9km,11.9km,2.45,-,0.10,-,-,4.75,2.05,10.15,30%,20,1.00,41,0.10,28,85%,644,32.20,545,27.25,15.30,5.25,210,10.50,57,2.85,43,2.15,43,7,0.55,0,0.00,0.35,16%,2.15,88%,50,44,2.20,8,49,116,26,7,136,0,AM (R),-,-,-,-,-
- -  -,,2000279300,Joao Silva,Balanced,20,"M/AM (C), ST (C)",Right Only,"5'10""",N/A,Farsley,Vanarama National League North,€140 p/w,30/6/2026,€0 - €8K,303,-,-,0.17,0.57,303.00,-0.13,0.34,1,-,0.30,1.13,0.34,-,-,0,-,12.18,-,0.30,1.19,8%,3.27,-,0.89,52.7km,15.7km,1.49,-,0.09,-,-,8.61,3.56,13.07,29%,7,2.08,12,0.00,4,82%,142,42.18,116,34.46,13.07,7.72,25,7.43,4,1.19,10,2.97,12,2,2.08,0,0.00,0.59,17%,3.56,100%,2,2,0.59,2,5,11,4,1,41,0,ST (C),-,-,-,-,-
- -  -,Inj,28124744,Cardo Siddik,Balanced,23,"D (C), DM",Left Only,"6'3""",-,Al-Najaf,Iraqi Premier League,"€1,100 p/w",30/6/2027,Unknown,630,-,-,0.00,0.00,315.00,1.82,0.03,2,-,0.29,0.18,0.03,-,-,1,-,-,-,-,0.00,67%,0.00,-,0.00,0.0km,0.0km,-,-,0.06,-,-,-,-,0.00,-,0,-,-,0.00,0,66%,140,20.00,93,13.29,0.00,0.00,0,0.00,0,0.00,0,0.00,3,2,0.00,0,0.00,0.29,67%,0.43,100%,12,12,1.71,0,0,0,0,0,0,0,D (C),-,-,-,-,-
- -  -,Lst,2000133059,Jonny Shepherd,,22,"AM (RLC), ST (C)",Right,"5'10""",-,Southport,Vanarama National League North,€200 p/w,30/6/2026,€0,"1,445",-,-,0.24,3.86,206.43,3.51,0.22,7,-,0.44,3.49,0.22,-,-,0,-,6.79,0.25,0.25,1.25,27%,4.55,19%,0.87,199.6km,12.4km,2.18,-,0.13,-,-,5.92,0.87,7.60,13%,26,1.62,14,0.06,22,84%,424,26.41,355,22.11,10.90,5.04,144,8.97,41,2.55,33,2.06,26,12,0.75,1,0.06,0.75,46%,1.62,82%,34,28,1.74,5,35,73,20,4,109,3,ST (C),-,-,-,-,-
