UID,Rec,Inf,Name,Position,Club,Nat,Height,Weight,WR,Age,Transfer Value,Based,Division,Expires,Wage,Left Foot,Personality,Preferred Foot,Birth City,Best Pos,Max WD,Min WD,Hdrs A,Tck/90,Tck W,Tck A,Tck R,Shot/90,Shot %,ShT/90,ShT,Shots Outside Box/90,Shts Blckd/90,Shts Blckd,Shots,Svt,Svp,Svh,Sv %,Pr passes/90,Pr Passes,Pres C/90,Pres C,Pres A/90,Pres A,Poss Won/90,Poss Lost/90,Ps C/90,Ps C,Ps A/90,Pas A,Pas %,OP-KP/90,OP-KP,OP-Crs C/90,OP-Crs C,OP-Crs A/90,OP-Crs A,OP-Cr %,Off,Gl Mst,K Tck/90,K Tck,K Ps/90,K Pas,K Hdrs/90,Int/90,Itc,Sprints/90,Hdr %,Hdrs W/90,Hdrs,Hdrs L/90,Goals Outside Box,FK Shots,xSv %,xGP/90,xGP,xG/shot,Drb/90,Drb,Dist/90,Distance,Cr C/90,Cr C,Crs A/90,Cr A,Cr C/A,Conv %,Clr/90,Clear,CCC,Ch C/90,Blk/90,Blk,Asts/90,Aer A/90,AT Apps,Yel,xG,Saves/90,Tgls/90,Tcon/90,Tcon,Tgls,Starts,Red,Pts/Gm,PoM,Pen/R,Pens S,Pens Saved Ratio,Pens Saved,Pens Faced,Pens,NP-xG/90,NP-xG,Last Gl,Last C,Mins/Gm,Mins,Last 5 Games,Last 5 FT Games,Int Conc,Int Av Rat,Int Ast,Int Apps,Gls/90,Conc,Gls,Won,G. Mis,Lost,D,Gwin,Fls,FA,xG/90,xG-OP,xA/90,xA,Con/90,Cln/90,Clean Sheets,Av Rat,Mins/Gl,Ast,Apps,AT Lge Gls,AT Lge Apps,AT Gls,Max AP,Min AP,Style,NoB
74001044,- -  -,Inj,Scott Barrow,D/WB (L),Darlington,WAL,"5'10""",71 kg,,35,Unknown,England (Vanarama North),Vanarama National League North,30/6/2024,€775 p/w,-,,Unknown,Swansea,D (RL),N/A,N/A,79,2.56,49,63,78%,0.99,16%,0.16,3,0.83,0.26,5,19,-,-,-,-,6.05,116,2.92,56,11.99,230,11.00,13.97,34.88,669,42.03,806,83%,1.41,27,0.83,16,7.93,152,11%,0,0,0.05,1,1.72,33,0.31,2.35,45,17.26,47%,1.93,37,2.19,1,7,-,-,-,0.07,1.67,32,13.7km,262.5km,1.04,20,9.18,176,10%,5%,0.89,17,9,0.47,0.68,13,0.10,4.12,427,2,1.35,-,1.36,1.25,-,26,20,0,1.60,2,-,0,-,-,-,0,0.07,1.35,"1,655.00",-,86.30,"1,726",,,-,-,-,-,0.05,-,1,9,-,6,5,45%,7,9,0.07,-0.35,0.20,3.74,-,-,-,6.85,"1,726.00",2,20,35,426,35,-,-,,WAL
2000040378,- -  -,Inj,Harry Nevin,D (RC),Kerry,IRL,"6'4""",81 kg,,20,Unknown,Ireland (First Division),Irish First Division,30/11/2024,€240 p/w,-,,Unknown,-,-,N/A,N/A,59,1.00,6,8,75%,1.00,33%,0.33,2,0.17,0.67,4,6,-,-,-,-,4.50,27,1.17,7,2.83,17,13.67,3.33,43.17,259,53.67,322,80%,0.33,2,0.00,0,0.17,1,0%,0,0,0.33,2,0.33,2,0.67,2.00,12,4.00,71%,7.00,42,2.83,0,0,-,-,-,0.08,-,0,11.0km,65.9km,0.00,0,0.17,1,-,17%,1.67,10,1,0.17,0.67,4,-,9.83,26,1,0.47,-,1.00,1.17,-,6,6,0,1.30,0,-,0,-,-,-,0,0.08,0.47,219.00,-,90.00,540,,,-,-,-,-,0.17,-,1,1,-,1,4,17%,2,2,0.08,0.53,0.00,0.00,-,-,-,6.75,540.00,0,6,3,26,3,-,-,,IRL
52063561,- -  -,Ama,Rob Lehane,ST (C),Douglas Hall,IRL,"5'8""",71 kg,,30,Unknown,Ireland (Munster Premier Division),Irish Munster Senior League Premier Division,-,N/A,-,,Unknown,Cork,-,N/A,N/A,10,1.40,7,10,70%,2.80,64%,1.80,9,0.00,0.00,0,14,-,-,-,-,0.00,0,0.60,3,1.00,5,1.40,4.60,14.00,70,20.60,103,68%,0.00,0,0.00,0,0.00,0,-,1,0,0.00,0,-,0,0.00,0.20,1,0.60,20%,0.40,2,1.60,0,0,-,-,-,0.07,0.20,1,1.9km,9.4km,0.00,0,0.00,0,-,7%,0.00,0,0,-,-,0,-,2.00,72,0,0.97,-,0.20,0.40,-,1,5,0,1.15,0,-,0,-,-,-,0,0.19,0.97,0.00,-,90.00,450,,,-,-,-,-,0.20,-,1,0,-,1,4,0%,11,11,0.19,0.03,0.05,0.23,-,-,-,6.98,450.00,0,5,15,70,15,-,-,,IRL
52032314,- -  -,Ama,Craig Walsh,M (C),Inchicore Ath,IRL,"6'0""",77 kg,,32,Unknown,Ireland (Leinster Senior 1A),Irish Leinster Senior League 1A,-,N/A,-,,Unknown,Dublin,-,N/A,N/A,0,2.00,8,9,89%,0.75,33%,0.25,1,0.00,0.00,0,3,-,-,-,-,0.00,0,0.00,0,0.00,0,0.00,0.00,13.25,53,20.00,80,66%,0.00,0,0.00,0,0.00,0,-,0,0,0.00,0,-,0,0.00,-,0,0.00,-,-,-,-,0,0,-,-,-,0.13,-,0,0.0km,0.0km,0.00,0,0.00,0,-,33%,0.00,0,0,-,-,0,-,-,136,0,0.40,-,0.00,0.00,-,0,4,0,1.30,0,-,0,-,-,-,0,0.10,0.40,0.00,-,90.00,360,,,-,-,-,-,0.25,-,1,0,-,0,4,0%,5,1,0.10,0.60,0.34,1.35,-,-,-,6.80,360.00,0,4,6,136,6,-,-,,IRL
52090507,- -  -,Ama,Alan Murphy,M/AM (L),Newcastle West Town,IRL,"5'9""",67 kg,,26,Unknown,Ireland (Limerick Desmond League),Irish Limerick Desmond League Premier Division,-,N/A,-,,Unknown,-,-,N/A,N/A,0,1.00,4,6,67%,-,-,-,-,0.00,0.00,0,0,-,-,-,-,0.00,0,0.00,0,0.00,0,0.00,0.00,14.00,56,20.00,80,70%,0.00,0,0.00,0,0.00,0,-,0,0,0.00,0,-,0,0.00,-,0,0.00,-,-,-,-,0,0,-,-,-,0.00,-,0,0.0km,0.0km,0.00,0,0.00,0,-,-,0.00,0,0,-,-,0,-,-,39,0,0.00,-,0.00,0.00,-,0,4,0,1.30,1,-,0,-,-,-,0,0.00,0.00,-,-,90.00,360,,,-,-,-,-,-,-,0,0,-,0,4,0%,12,6,0.00,0.00,0.11,0.44,-,-,-,7.72,-,0,4,-,39,-,-,-,,IRL
29236331,- -  -,,Liam Cross,AM (RL),Brackley,ENG,"6'0""",74 kg,,21,Unknown,England (Vanarama North),Vanarama National League North,30/6/2024,€475 p/w,-,,Unknown,Bicester,"M/AM (RL), ST (RL)",N/A,N/A,26,1.19,4,4,100%,1.49,0%,0.00,0,0.89,0.00,0,5,-,-,-,-,2.68,9,1.79,6,9.54,32,5.66,16.99,29.21,98,35.17,118,83%,1.19,4,0.00,0,2.09,7,0%,1,0,0.00,0,1.19,4,0.00,1.49,5,8.34,12%,0.89,3,6.85,0,0,-,-,-,0.07,1.19,4,13.3km,44.6km,0.00,0,3.58,12,-,-,1.49,5,3,0.89,0.60,2,-,7.75,63,0,0.36,-,0.30,1.79,-,1,2,0,0.91,0,-,0,-,-,-,0,0.11,0.36,-,-,27.45,302,,,-,-,-,-,-,-,0,3,-,7,1,27%,2,2,0.11,-0.36,0.30,1.00,-,-,-,6.60,-,0,2 (9),7,59,7,-,-,,ENG
28127255,- -  -,FrA,Tom Midgley,D (L),,ENG,"5'10""",70 kg,,21,€0,England,-,-,-,-,,Unknown,Preston,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,ENG
52064791,- -  -,Ama,Tony Whitehead,"D (C), DM",Ringmahon,IRL,"5'11""",75 kg,,28,Unknown,Ireland (Munster Premier Division),Irish Munster Senior League Premier Division,-,N/A,-,,Unknown,-,-,N/A,N/A,19,0.84,2,2,100%,-,-,-,-,0.00,1.68,4,0,-,-,-,-,3.79,9,0.84,2,1.68,4,15.56,3.79,37.01,88,53.83,128,69%,0.00,0,0.00,0,0.00,0,-,0,0,0.00,0,-,0,0.00,2.10,5,3.79,32%,2.52,6,5.47,0,0,-,-,-,0.00,-,0,9.7km,23.1km,0.00,0,0.00,0,-,-,0.42,1,0,-,0.42,1,-,7.99,160,1,0.00,-,1.26,0.84,-,3,3,0,1.80,0,-,0,-,-,-,0,0.00,0.00,-,-,53.50,214,,,-,-,-,-,-,-,0,3,-,1,0,75%,1,1,0.00,0.00,0.00,0.00,-,-,-,6.13,-,0,3 (1),3,156,3,-,-,,IRL
52058410,- -  -,Ama,Cillian Morrison,"AM (R), ST (C)",Letterkenny,IRL,"6'3""",86 kg,,32,Unknown,Ireland (Irish Lower Division),Irish Lower Division,-,N/A,-,,Unknown,Letterkenny,-,N/A,N/A,0,1.75,7,9,78%,2.25,44%,1.00,4,0.00,0.00,0,9,-,-,-,-,0.00,0,0.00,0,0.00,0,0.00,0.00,13.00,52,20.00,80,65%,0.00,0,0.00,0,0.00,0,-,0,0,0.00,0,-,0,0.00,-,0,0.00,-,-,-,-,0,0,-,-,-,0.08,-,0,0.0km,0.0km,0.00,0,0.00,0,-,-,0.00,0,0,-,-,0,0.75,-,93,0,0.74,-,0.00,0.00,-,0,4,0,1.30,0,-,0,-,-,-,0,0.18,0.74,-,-,90.00,360,,,-,-,-,-,-,-,0,0,-,0,4,0%,0,4,0.18,-0.74,0.09,0.37,-,-,-,7.60,-,3,4,25,93,25,-,-,,IRL
28127110,- -  -,FrA,Daniel Lowey,D (L),,ENG,"5'10""",70 kg,,20,€0,England,-,-,-,-,,Unknown,Liverpool,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,ENG
28121778,- -  -,FrA,Matthew O'Neill,M/AM (R),,ENG,"5'8""",65 kg,,22,€0,England,-,-,-,-,,Unknown,Liverpool,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,ENG
29236815,- -  -,FrA,Luke Billam,M/AM (L),,ENG,"5'9""",67 kg,,21,€0,England,-,-,-,-,,Unknown,Hull,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,ENG
52079109,- -  -,Ama,James English,"AM (R), ST (C)",Ayrfield Utd,IRL,"6'1""",80 kg,,32,Unknown,Ireland (Leinster First Division),Irish Leinster Senior League First Division,-,N/A,-,,Unknown,-,-,N/A,N/A,0,1.50,6,8,75%,3.00,50%,1.50,6,0.00,0.00,0,12,-,-,-,-,0.00,0,0.00,0,0.00,0,0.00,0.00,12.50,50,20.00,80,63%,0.00,0,0.00,0,0.00,0,-,0,0,0.00,0,-,0,0.00,-,0,0.00,-,-,-,-,0,0,-,-,-,0.07,-,0,0.0km,0.0km,0.00,0,0.00,0,-,17%,0.00,0,0,-,-,0,-,-,138,0,0.88,-,0.00,0.00,-,0,4,0,1.30,0,-,0,-,-,-,0,0.22,0.88,0.00,-,90.00,360,,,-,-,-,-,0.50,-,2,0,-,0,4,0%,3,1,0.22,1.12,0.18,0.73,-,-,-,7.60,180.00,0,4,50,138,50,-,-,,IRL
52070887,- -  -,,Stephen Best,D (C),Finn Harps,IRL,"6'0""",79 kg,,27,Unknown,Ireland (First Division),Irish First Division,30/11/2024,€220 p/w,-,,Unknown,Dublin,-,N/A,N/A,15,1.11,2,2,100%,0.56,0%,0.00,0,0.56,0.00,0,1,-,-,-,-,2.22,4,1.11,2,4.44,8,12.22,5.00,41.11,74,51.11,92,80%,1.11,2,1.67,3,2.22,4,75%,0,0,0.56,1,1.11,2,0.00,1.11,2,8.89,53%,4.44,8,3.89,0,0,-,-,-,0.01,-,0,10.7km,19.2km,1.67,3,2.22,4,75%,-,2.22,4,0,-,2.78,5,-,8.33,34,0,0.01,-,1.67,0.00,-,3,1,0,1.80,0,-,0,-,-,-,0,0.01,0.01,-,-,81.00,162,,,-,-,-,-,-,-,0,2,-,0,0,100%,0,1,0.01,-0.01,0.00,0.00,-,-,-,6.95,-,0,1 (1),1,34,1,-,-,,IRL
28116913,- -  -,FrA,Kit Elliott,ST (C),,ENG,"6'0""",75 kg,,23,€0,England,-,-,-,-,,Unknown,-,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,17,3,-,-,,ENG
95032318,- -  -,,Kennedy Digie,D (C),Alfreton,ENG,"6'3""",88 kg,,27,Unknown,England (Vanarama North),Vanarama National League North,30/6/2024,€350 p/w,-,,Unknown,London,D (C),N/A,N/A,150,1.04,14,16,88%,0.52,57%,0.30,4,0.15,0.52,7,7,-,-,-,-,3.11,42,0.59,8,2.22,30,13.78,9.19,33.93,458,43.48,587,78%,0.30,4,0.00,0,0.15,2,0%,0,3,0.30,4,0.30,4,2.15,1.33,18,4.15,77%,8.59,116,2.52,1,0,-,-,-,0.15,-,0,10.9km,146.6km,0.00,0,0.15,2,-,29%,1.78,24,2,0.15,0.52,7,-,11.11,163,1,1.06,-,1.11,1.63,-,15,13,0,1.25,1,-,0,-,-,-,0,0.08,1.06,110.00,-,75.94,"1,215",,,-,-,-,-,0.15,-,2,5,-,6,5,31%,8,0,0.08,0.94,0.07,0.91,-,-,-,6.87,607.50,0,13 (3),9,162,9,-,-,,ENG
28128055,- -  -,FrA,Josh Harrison,AM (RLC),,ENG,"5'6""",57 kg,,21,€0,England,-,-,-,-,,Unknown,Newcastle,-,N/A,N/A,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,ENG
52045650,- -  -,Ama,John Currie,M (C),Galway Hibs,NIR,"5'6""",68 kg,,30,Unknown,Ireland (Galway Premier Division),Irish Galway Junior Premier Division,-,N/A,-,,Unknown,-,-,N/A,N/A,0,2.25,9,12,75%,0.50,50%,0.25,1,0.00,0.00,0,2,-,-,-,-,0.00,0,0.00,0,0.00,0,0.00,0.00,15.00,60,20.00,80,75%,0.00,0,0.00,0,0.00,0,-,0,0,0.00,0,-,0,0.00,-,0,0.00,-,-,-,-,0,0,-,-,-,0.05,-,0,0.0km,0.0km,0.00,0,0.00,0,-,50%,0.00,0,0,-,-,0,0.50,-,117,0,0.10,-,0.00,0.00,-,0,4,0,1.30,0,-,0,-,-,-,0,0.03,0.10,0.00,-,90.00,360,,,-,-,-,-,0.25,-,1,0,-,0,4,0%,4,3,0.03,0.90,0.00,0.00,-,-,-,7.97,360.00,2,4,6,117,6,-,-,,NIR
