Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,Details,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,GK,DEF,DEF,DEF,DEF,DEF,DEF,DEF,DEF,DEF,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck,Atck
Adam Crookes,29,425,"6'0""",4,2163.0,12.0,D (C),Marine,,,,,,0.0,0.0,0.0,0.0,,0.0,,,9.15,3.16,74.0,2,2.12,12.52,1.62,74.0,,62.0,2.29,0.71,3.37,12.52,9.15,3.16,83.0,,0.02,0.25,0.08,1.04,12.5,-0.02,50.0,50.0,4.62,,0.0,0.0,0.02,0.0,0.0,0.0
Matty Douglas,29,300,"6'3""",4,3699.0,11.3,D (RC),Macclesfield,,,,,,0.0,0.0,0.0,0.0,,0.0,,,10.68,2.97,81.0,1,1.27,13.55,1.87,81.0,,71.0,1.97,0.61,2.87,13.55,10.68,2.97,82.0,,0.04,0.1,0.17,1.39,8.14,-0.01,41.0,41.0,6.57,,0.0,0.0,0.03,0.02,0.0,0.0
Mitchell Curry,27,425,"5'10""",4,2470.0,12.1,ST (C),Marine,,,,,,0.0,0.0,0.0,0.0,,0.0,,,7.98,0.77,67.0,1,0.98,3.68,1.24,67.0,,17.0,0.77,0.07,-4.3,3.68,7.98,0.77,87.0,,0.08,0.91,0.26,2.26,8.86,-0.01,33.0,33.0,1.93,,22.0,0.8016194331983804,0.24,0.26,0.0,0.0
Billy Stedman,27,170,"5'6""",4,651.0,12.1,AM (R),Newtown,,,,,,0.0,0.0,0.0,0.0,,0.0,,,14.52,1.8,75.0,1,1.8,5.12,1.66,75.0,,30.0,1.24,0.28,-9.4,5.12,14.52,1.8,86.0,,0.19,2.07,0.97,4.98,5.14,0.4,57.0,57.0,1.94,,0.0,0.0,0.15,0.55,0.0,0.0
Aaron Drewe,26,400,"5'9""",4,1498.0,12.6,D (R),Macclesfield,,,,,,0.0,0.0,0.0,0.0,,0.0,,,13.28,3.54,84.0,2,2.28,12.32,3.06,84.0,,46.0,2.58,0.6,-0.96,12.32,13.28,3.54,82.0,,0.14,0.96,0.6,5.71,9.5,0.04,100.0,100.0,3.18,,2.0,0.12016021361815753,0.02,0.06,0.0,0.0
Bradley Webb,25,0,"6'1""",4,304.0,12.8,D (L),Caernarfon,,,,,,0.0,0.0,0.0,0.0,,0.0,,,15.39,6.81,83.0,2,0.89,7.4,2.96,83.0,,48.0,2.37,0.59,-7.99,7.4,15.39,6.81,91.0,,0.11,0.59,0.3,2.37,8.0,0.0,0.0,0.0,3.26,,0.0,0.0,0.0,0.0,0.0,0.0
Harley Curtis,24,220,"6'2""",4,1677.0,1.2,"AM (R), ST (C)",Airbus UK,,,,,,0.0,0.0,0.0,0.0,,0.0,,,0.91,0.0,64.0,0,0.0,0.21,0.86,64.0,,6.0,0.05,0.0,-0.7,0.21,0.91,0.0,61.0,,0.12,0.05,0.0,0.05,0.0,-0.08,61.0,61.0,0.05,,2.0,0.1073345259391771,0.35,0.27,0.0,0.0
Ayo Shogbeni,23,120,"6'4""",4,614.0,10.7,D (C),Connah's Quay,,,,,,0.0,0.0,0.0,0.0,,0.0,,,5.57,3.22,100.0,1,0.73,11.58,1.03,100.0,,82.0,2.05,0.15,6.01,11.58,5.57,3.22,82.0,,0.01,0.0,0.0,0.0,0.0,0.12,67.0,67.0,6.74,,0.0,0.0,0.03,0.15,0.0,0.0
Jamie Hollywood,29,250,"6'0""",4,915.0,12.0,M/AM (C),Finn Harps,,,,,,0.0,0.0,0.0,0.0,,0.0,,,15.34,3.74,65.0,1,1.48,7.08,1.48,65.0,,46.0,0.79,0.2,-8.26,7.08,15.34,3.74,82.0,,0.2,0.79,0.39,2.75,7.0,0.09,25.0,25.0,1.77,,0.0,0.0,0.01,0.1,0.0,0.0
Richie Purdy,29,0,"5'11""",4,630.0,1.6,M (C),Liffey Wanderers,,,,,,0.0,0.0,0.0,0.0,,0.0,,,1.71,0.14,87.0,1,0.43,4.14,1.86,87.0,,100.0,0.14,0.14,2.43,4.14,1.71,0.14,81.0,,0.18,0.14,0.0,0.0,0.0,-0.06,0.0,0.0,0.29,,0.0,0.0,0.06,0.0,0.0,0.0
Adrian Delap,28,0,"5'10""",4,417.0,13.3,M/AM (RL),Letterkenny,,,,,,0.0,0.0,0.0,0.0,,0.0,,,11.65,3.88,92.0,1,0.86,7.34,2.59,92.0,,38.0,1.08,0.0,-4.31,7.34,11.65,3.88,83.0,,0.15,0.86,1.08,5.83,5.4,-0.04,0.0,0.0,2.37,,1.0,0.2158273381294964,0.04,0.0,0.0,0.0
Shane Daly-Butz,30,0,"6'0""",4,570.0,3.1,M/AM (L),Col Corinthians,,,,,,0.0,0.0,0.0,0.0,,0.0,,,2.21,0.63,62.0,0,0.0,0.79,1.26,62.0,,45.0,0.0,0.0,-1.42,0.79,2.21,0.63,80.0,,0.03,0.63,0.0,0.63,0.0,-0.16,29.0,29.0,0.79,,1.0,0.15789473684210525,0.16,0.0,0.0,0.0
Ahu Obhakhan,29,0,"6'2""",4,540.0,0.0,"AM (RL), ST (C)",Glebe North,,,,,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,80.0,0,0.0,0.0,1.33,80.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,,0.04,0.0,0.0,0.0,0.0,0.18,44.0,44.0,0.0,,0.0,0.0,0.32,0.5,0.0,0.0
Shane Barnes,29,0,"5'9""",4,781.0,11.0,ST (C),Crumlin Utd,,,,,,0.0,0.0,0.0,0.0,,0.0,,,18.55,0.46,60.0,1,1.27,3.57,0.35,60.0,,17.0,0.46,0.35,-14.98,3.57,18.55,0.46,87.0,,0.19,0.58,0.0,0.35,0.0,0.14,44.0,44.0,1.73,,8.0,0.9218950064020485,0.32,0.46,0.0,0.0
Paul Fox,28,0,"5'8""",4,630.0,2.1,M/AM (L),Liffey Wanderers,,,,,,0.0,0.0,0.0,0.0,,0.0,,,1.86,0.57,92.0,1,0.29,1.14,1.71,92.0,,50.0,0.14,0.0,-0.72,1.14,1.86,0.57,68.0,,0.21,0.29,0.0,0.43,0.0,-0.05,50.0,50.0,0.43,,0.0,0.0,0.05,0.0,0.0,0.0
Alan Murphy,29,0,"6'1""",4,630.0,0.0,M/AM (L),Newcastle West Town,,,,,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,86.0,0,0.0,0.0,0.86,86.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,,0.08,0.0,0.0,0.0,0.0,0.2,20.0,20.0,0.0,,0.0,0.0,0.09,0.29,0.0,0.0
Kieran Farren,26,275,"6'2""",4,2642.0,11.3,D (RC),Scarborough Athletic,,,,,,0.0,0.0,0.0,0.0,,0.0,,,11.17,5.72,73.0,2,2.55,13.08,1.5,73.0,,52.0,1.77,0.37,1.91,13.08,11.17,5.72,87.0,,0.03,0.41,0.14,2.01,14.75,-0.03,9.0,9.0,3.82,,2.0,0.06813020439061317,0.03,0.0,0.0,0.0
Gareth McCaffrey,31,0,"5'10""",4,515.0,11.1,ST (C),St. Mochtas,,,,,,0.0,0.0,0.0,0.0,,0.0,,,15.38,0.52,100.0,1,0.87,4.19,1.05,100.0,,23.0,0.35,0.35,-11.19,4.19,15.38,0.52,87.0,,0.13,0.87,0.0,0.7,0.0,0.34,58.0,58.0,2.8,,4.0,0.6990291262135923,0.36,0.7,0.0,0.0
Connor Wood,30,400,"5'10""",4,3920.0,12.7,D/WB (L),Macclesfield,,,,,,0.0,0.0,0.0,0.0,,0.0,,,13.59,4.82,80.0,2,1.56,12.21,3.15,80.0,,49.0,2.23,0.92,-1.38,12.21,13.59,4.82,81.0,,0.1,0.55,1.12,6.5,5.78,0.04,47.0,47.0,2.46,,6.0,0.1377551020408163,0.04,0.16,0.0,0.0
Amarie Brown,23,0,"5'9""",4,591.0,11.8,M (R),Bala,,,,,,0.0,0.0,0.0,0.0,,0.0,,,13.1,2.44,93.0,1,2.13,5.63,1.98,93.0,,30.0,0.61,0.3,-7.47,5.63,13.1,2.44,84.0,,0.22,2.44,2.13,17.82,8.36,-0.22,13.0,13.0,1.98,,2.0,0.3045685279187817,0.22,0.0,0.0,0.0
Bailey Sloane,24,300,"6'3""",4,563.0,11.1,D (LC),Boston Utd,,,,,,0.0,0.0,0.0,0.0,,0.0,,,8.95,6.07,100.0,1,1.92,14.87,1.44,100.0,,69.0,1.92,0.48,5.92,14.87,8.95,6.07,84.0,,0.02,0.0,0.0,1.12,0.0,-0.05,33.0,33.0,4.96,,0.0,0.0,0.05,0.0,0.0,0.0
Kaya Tshaka,23,275,"5'9""",4,1731.0,12.8,DM,Macclesfield,,,,,,0.0,0.0,0.0,0.0,,0.0,,,9.15,2.39,67.0,2,1.92,7.8,2.13,67.0,,24.0,1.77,0.36,-1.35,7.8,9.15,2.39,83.0,,0.03,0.42,0.05,0.68,13.0,-0.04,33.0,33.0,0.83,,0.0,0.0,0.04,0.0,0.0,0.0
Matthew Castillo-Anderson,23,0,"5'3""",4,3464.0,12.7,M/AM (C),Macclesfield,,,,,,0.0,0.0,0.0,0.0,,0.0,,,9.77,2.75,72.0,1,1.56,6.0,1.09,72.0,,14.0,0.73,0.18,-3.77,6.0,9.77,2.75,85.0,,0.11,1.35,0.21,0.99,4.75,0.01,39.0,39.0,0.55,,3.0,0.0779445727482679,0.09,0.1,0.0,0.0
Jaheim Allen,21,0,"5'7""",4,3406.0,13.0,AM (L),Macclesfield,,,,,,0.0,0.0,0.0,0.0,,0.0,,,13.45,1.64,82.0,2,1.72,7.53,2.99,82.0,,22.0,1.19,0.34,-5.92,7.53,13.45,1.64,83.0,,0.12,3.25,0.61,5.84,9.61,-0.02,47.0,47.0,1.61,,10.0,0.26423957721667646,0.15,0.13,0.0,0.0
Ryan Hand,22,450,"5'11""",4,3510.0,11.7,D (LC),Marine,,,,,,0.0,0.0,0.0,0.0,,0.0,,,12.05,4.03,73.0,2,1.59,13.18,2.9,73.0,,72.0,1.9,1.08,1.13,13.18,12.05,4.03,80.0,,0.07,0.21,0.28,1.56,5.55,0.0,37.0,37.0,7.59,,2.0,0.05128205128205128,0.03,0.03,0.0,0.0
James Walsh,18,180,"6'4""",4,566.0,11.9,"D (C), DM, M (C)",Altrincham,,,,,,0.0,0.0,0.0,0.0,,0.0,,,7.79,4.93,79.0,1,0.8,9.38,1.75,79.0,,56.0,0.95,0.0,1.59,9.38,7.79,4.93,83.0,,0.17,0.48,0.32,0.8,2.5,-0.04,0.0,0.0,3.98,,2.0,0.31802120141342755,0.04,0.0,0.0,0.0
Arjun Toor,22,300,"5'10""",4,2115.0,11.6,ST (C),Macclesfield,,,,,,0.0,0.0,0.0,0.0,,0.0,,,7.91,0.43,67.0,0,0.55,3.45,0.6,67.0,,25.0,0.55,0.13,-4.46,3.45,7.91,0.43,83.0,,0.06,0.85,0.04,0.43,10.0,-0.01,42.0,42.0,3.57,,19.0,0.8085106382978723,0.31,0.3,0.0,0.0
Sam Bentley,21,170,"6'1""",4,3932.0,11.2,D (C),Peterborough Sports,,,,,,0.0,0.0,0.0,0.0,,0.0,,,8.51,2.49,83.0,1,0.92,10.07,1.26,83.0,,60.0,1.83,0.48,1.56,10.07,8.51,2.49,80.0,,0.02,0.05,0.0,0.09,0.0,-0.03,20.0,20.0,4.51,,1.0,0.02288911495422177,0.03,0.0,0.0,0.0
Shannon Brown,22,450,"5'2""",4,3504.0,12.5,"DM, M (C)",Macclesfield,,,,,,0.0,0.0,0.0,0.0,,0.0,,,8.35,4.01,75.0,1,1.36,7.83,1.67,75.0,,28.0,0.95,0.28,-0.52,7.83,8.35,4.01,85.0,,0.12,0.44,0.31,1.59,5.17,0.02,39.0,39.0,0.92,,1.0,0.025684931506849314,0.04,0.1,0.0,0.0
Aaron James,22,0,"6'0""",4,565.0,11.1,D (C),Cirencester,,,,,,0.0,0.0,0.0,0.0,,0.0,,,3.5,2.87,80.0,1,1.75,18.48,0.64,80.0,,60.0,1.91,0.32,14.98,18.48,3.5,2.87,77.0,,0.02,0.0,0.0,0.0,0.0,0.15,50.0,50.0,5.58,,1.0,0.1592920353982301,0.01,0.16,0.0,0.0
Kyle White,23,300,"6'0""",4,887.0,13.5,"DM, M (LC)",Alfreton,,,,,,0.0,0.0,0.0,0.0,,0.0,,,8.22,4.97,83.0,1,1.52,11.36,1.52,83.0,,55.0,1.32,0.2,3.14,11.36,8.22,4.97,85.0,,0.08,0.81,0.1,1.93,19.0,-0.09,40.0,40.0,2.64,,0.0,0.0,0.09,0.0,0.0,0.0
Josh Edwards,22,0,"5'11""",4,728.0,12.7,D (L),Barry,,,,,,0.0,0.0,0.0,0.0,,0.0,,,14.59,4.7,73.0,2,1.61,8.04,1.98,73.0,,63.0,1.24,1.24,-6.55,8.04,14.59,4.7,86.0,,0.03,0.87,0.49,9.15,18.5,-0.06,20.0,20.0,3.21,,1.0,0.12362637362637362,0.06,0.0,0.0,0.0
Leon Baker,22,0,"5'6""",4,306.0,15.6,M (C),Leamington,,,,,,0.0,0.0,0.0,0.0,,0.0,,,12.94,4.12,56.0,1,0.88,7.06,2.65,56.0,,28.0,0.88,0.0,-5.88,7.06,12.94,4.12,80.0,,0.1,1.18,0.0,3.24,0.0,-0.21,33.0,33.0,1.47,,1.0,0.29411764705882354,0.21,0.0,0.0,0.0
Harvey Kirby-Moore,20,275,"5'11""",4,162.0,11.9,ST (C),Buxton,,,,,,0.0,0.0,0.0,0.0,,0.0,,,13.89,0.56,67.0,1,0.0,1.67,1.11,67.0,,6.0,1.11,0.0,-12.22,1.67,13.89,0.56,83.0,,0.07,1.11,0.0,1.67,0.0,0.43,100.0,100.0,0.56,,1.0,0.5555555555555556,0.13,0.56,0.0,0.0
Cenk Grocott,19,45,"6'1""",4,188.0,11.6,"AM (RL), ST (C)",Boston Utd,,,,,,0.0,0.0,0.0,0.0,,0.0,,,19.63,0.48,100.0,1,1.44,0.48,0.48,100.0,,13.0,0.0,0.48,-19.15,0.48,19.63,0.48,88.0,,0.2,0.96,0.0,0.0,0.0,0.36,100.0,100.0,0.96,,2.0,0.9574468085106382,0.12,0.48,0.0,0.0
Nathan Mercer,21,150,"5'10""",4,3460.0,13.0,"DM, M (C)",Marine,,,,,,0.0,0.0,0.0,0.0,,0.0,,,7.83,4.01,74.0,1,1.35,8.69,1.9,74.0,,53.0,1.53,0.7,0.86,8.69,7.83,4.01,85.0,,0.08,0.39,0.08,0.49,6.33,0.0,38.0,38.0,2.86,,2.0,0.052023121387283246,0.05,0.05,0.0,0.0
Luke Grimshaw,21,0,"6'1""",4,1307.0,10.9,D (C),Leamington,,,,,,0.0,0.0,0.0,0.0,,0.0,,,9.78,2.89,90.0,1,1.17,14.39,1.24,90.0,,65.0,2.82,0.62,4.61,14.39,9.78,2.89,81.0,,0.05,0.0,0.0,0.0,0.0,0.1,50.0,50.0,6.13,,0.0,0.0,0.04,0.14,0.0,0.0
Will De Wilde,21,130,"6'0""",4,4247.0,12.0,M (C),Banbury,,,,,,0.0,0.0,0.0,0.0,,0.0,,,8.88,4.15,75.0,1,1.17,6.63,1.67,75.0,,34.0,0.72,0.21,-2.25,6.63,8.88,4.15,87.0,,0.14,0.34,0.13,0.61,4.83,0.0,25.0,25.0,1.36,,6.0,0.12714857546503414,0.08,0.08,0.0,0.0
Morgan Owen,22,525,"6'3""",4,1806.0,12.6,M (C),FC United,,,,,,0.0,0.0,0.0,0.0,,0.0,,,9.47,2.59,86.0,1,1.4,8.72,1.5,86.0,,53.0,2.09,0.3,-0.75,8.72,9.47,2.59,89.0,,0.08,0.7,0.3,0.9,3.0,-0.01,31.0,31.0,2.79,,0.0,0.0,0.06,0.05,0.0,0.0
Luca Alonzi,21,130,"5'11""",4,1907.0,12.0,ST (C),Banbury,,,,,,0.0,0.0,0.0,0.0,,0.0,,,7.88,0.8,77.0,1,0.9,3.45,0.8,77.0,,9.0,0.76,0.14,-4.43,3.45,7.88,0.8,89.0,,0.07,0.71,0.09,0.76,8.0,0.01,53.0,53.0,1.18,,21.0,0.9910854745673832,0.41,0.42,0.0,0.0
Harry Revill,19,250,"5'11""",4,2309.0,11.0,D (C),Marine,,,,,,0.0,0.0,0.0,0.0,,0.0,,,7.64,3.47,71.0,1,1.6,10.6,0.94,71.0,,51.0,2.77,0.31,2.96,10.6,7.64,3.47,83.0,,0.0,0.04,0.0,0.08,0.0,-0.01,33.0,33.0,3.35,,0.0,0.0,0.01,0.0,0.0,0.0
Jack Shaw,22,0,"6'0""",4,2194.0,0.0,AM (C),Graham St. Prims,,,,,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,84.0,0,0.0,0.0,1.11,84.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,,0.13,0.0,0.0,0.0,0.0,-0.24,31.0,31.0,0.0,,0.0,0.0,0.28,0.04,0.0,0.0
Will Nicholson,20,120,"6'1""",4,1488.0,11.8,D (LC),Farsley,,,,,,0.0,0.0,0.0,0.0,,0.0,,,9.74,4.35,72.0,1,1.57,15.18,1.09,72.0,,70.0,2.06,0.67,5.44,15.18,9.74,4.35,79.0,,0.04,0.06,0.0,0.18,0.0,0.01,63.0,63.0,7.2,,0.0,0.0,0.05,0.06,0.0,0.0
Oliver Dixon,20,0,"5'10""",4,87.0,0.0,WB/M (RL),Ellesmere,,,,,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,75.0,1,0.0,0.0,3.1,75.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,,0.02,0.0,0.0,0.0,0.0,-0.62,20.0,20.0,0.0,,0.0,0.0,0.62,0.0,0.0,0.0
Alex Beattie,20,0,"5'10""",4,384.0,0.0,"DM, M (C)",Ellesmere,,,,,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,95.0,1,0.0,0.0,4.45,95.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,,0.03,0.0,0.0,0.0,0.0,-0.74,15.0,15.0,0.0,,0.0,0.0,0.74,0.0,0.0,0.0
Will Bage,21,0,"5'7""",4,241.0,0.0,ST (C),Ellesmere,,,,,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,100.0,0,0.0,0.0,1.49,100.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,,0.4,0.0,0.0,0.0,0.0,0.17,25.0,25.0,0.0,,0.0,0.0,0.58,0.75,0.0,0.0
Hari Roberts,20,65,"5'3""",4,1270.0,12.9,M (R),Marine,,,,,,0.0,0.0,0.0,0.0,,0.0,,,15.73,2.27,83.0,2,2.06,8.79,2.41,83.0,,14.0,1.63,0.28,-6.94,8.79,15.73,2.27,82.0,,0.1,2.2,0.5,7.94,16.0,0.07,30.0,30.0,0.78,,2.0,0.14173228346456693,0.07,0.14,0.0,0.0
Alfie Atherton,21,0,"5'7""",4,889.0,13.8,"DM, M (RC)",Marine,,,,,,0.0,0.0,0.0,0.0,,0.0,,,11.74,3.64,75.0,2,2.02,7.9,2.43,75.0,,16.0,1.82,0.2,-3.84,7.9,11.74,3.64,85.0,,0.06,1.62,0.4,6.18,15.25,0.03,33.0,33.0,0.91,,3.0,0.30371203599550056,0.07,0.1,0.0,0.0
David Abimbola,21,0,"6'1""",4,928.0,12.2,ST (C),Warrington,,,,,,0.0,0.0,0.0,0.0,,0.0,,,8.63,0.68,73.0,1,1.07,3.98,0.78,73.0,,21.0,1.16,0.19,-4.65,3.98,8.63,0.68,87.0,,0.13,1.45,0.19,1.75,9.0,0.17,33.0,33.0,2.33,,8.0,0.7758620689655172,0.22,0.39,0.0,0.0
Will Constantin,22,475,"5'10""",4,2437.0,12.6,D/WB (R),Marine,,,,,,0.0,0.0,0.0,0.0,,0.0,,,13.0,3.25,79.0,2,2.88,14.44,2.88,79.0,,45.0,2.7,0.7,1.44,14.44,13.0,3.25,80.0,,0.07,0.66,0.52,3.91,7.57,-0.02,23.0,23.0,3.55,,1.0,0.03693065244152646,0.02,0.0,0.0,0.0
John Boadu,19,0,"5'7""",4,3650.0,0.0,"DM, M (C)",RTD Academy,,,,,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,82.0,0,0.0,0.0,1.8,82.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,,0.08,0.0,0.0,0.0,0.0,-0.05,5.0,5.0,0.0,,0.0,0.0,0.05,0.0,0.0,0.0
Gareth Heary,19,0,"6'2""",4,473.0,11.5,D (C),Leamington,,,,,,0.0,0.0,0.0,0.0,,0.0,,,12.94,3.81,75.0,1,0.95,11.8,1.14,75.0,,68.0,2.85,0.38,-1.14,11.8,12.94,3.81,77.0,,0.0,0.19,0.0,0.19,0.0,-0.02,100.0,100.0,5.71,,0.0,0.0,0.02,0.0,0.0,0.0
Michael Connor,19,150,"6'5""",4,2604.0,12.1,"D (C), DM, M (C)",Peterborough Sports,,,,,,0.0,0.0,0.0,0.0,,0.0,,,8.4,3.59,80.0,1,1.11,9.4,1.9,80.0,,67.0,1.66,0.66,1.0,9.4,8.4,3.59,83.0,,0.05,0.21,0.07,0.14,2.0,-0.01,18.0,18.0,4.46,,1.0,0.03456221198156682,0.04,0.03,0.0,0.0
Sam Lapham,18,40,"5'10""",4,171.0,12.5,D/WB (R),Chippenham,,,,,,0.0,0.0,0.0,0.0,,0.0,,,18.42,4.74,86.0,2,2.63,1.58,3.16,86.0,,92.0,1.58,0.53,-16.84,1.58,18.42,4.74,64.0,,0.03,0.0,1.58,3.68,2.33,0.47,25.0,25.0,6.32,,0.0,0.0,0.06,0.53,0.0,0.0
Yahaya Usman,19,0,"6'1""",4,3803.0,0.0,"AM (R), ST (C)",Jossy Utd,,,,,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,50.0,0,0.0,0.0,0.62,50.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,,0.11,0.0,0.0,0.0,0.0,-0.18,28.0,28.0,0.0,,0.0,0.0,0.25,0.07,0.0,0.0
Carl Richardson,19,0,"5'10""",4,3780.0,0.0,AM (C),Shrivenham,,,,,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,81.0,0,0.0,0.0,0.62,81.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,,0.06,0.0,0.0,0.0,0.0,-0.16,23.0,23.0,0.0,,0.0,0.0,0.26,0.1,0.0,0.0
Junior Ngoy,19,0,"5'10""",4,1607.0,0.0,ST (C),Ellesmere,,,,,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,46.0,0,0.0,0.0,1.01,46.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,,0.09,0.0,0.0,0.0,0.0,-0.11,27.0,27.0,0.0,,0.0,0.0,0.28,0.17,0.0,0.0
Kim Klein Gulbrandsen,18,0,"5'9""",4,1620.0,0.0,ST (C),Ellesmere,,,,,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,61.0,0,0.0,0.0,0.61,61.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,,0.03,0.0,0.0,0.0,0.0,-0.19,25.0,25.0,0.0,,0.0,0.0,0.25,0.06,0.0,0.0
